policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
lookahead,dynamic_duopoly,before,final,90073,52.0554,1.000000
twap,dynamic_duopoly,before,final,90073,65.7966,1.000000
lookahead,dynamic_duopoly,before,final,90074,112.6208,1.000000
twap,dynamic_duopoly,before,final,90074,120.5101,1.000000
lookahead,dynamic_duopoly,before,final,90075,100.6145,1.000000
twap,dynamic_duopoly,before,final,90075,118.6101,1.000000
lookahead,dynamic_duopoly,before,final,90076,70.7450,1.000000
twap,dynamic_duopoly,before,final,90076,98.0773,1.000000
lookahead,dynamic_duopoly,before,final,90077,123.2509,1.000000
twap,dynamic_duopoly,before,final,90077,115.6404,1.000000
lookahead,dynamic_duopoly,before,final,90078,75.5212,1.000000
twap,dynamic_duopoly,before,final,90078,99.7978,1.000000
lookahead,dynamic_duopoly,before,final,90079,100.0657,1.000000
twap,dynamic_duopoly,before,final,90079,110.8853,1.000000
lookahead,dynamic_duopoly,before,final,90080,91.1350,1.000000
twap,dynamic_duopoly,before,final,90080,112.3529,1.000000
lookahead,dynamic_duopoly,before,final,90081,110.6581,1.000000
twap,dynamic_duopoly,before,final,90081,118.6274,1.000000
lookahead,dynamic_duopoly,before,final,90082,106.2753,1.000000
twap,dynamic_duopoly,before,final,90082,125.5778,1.000000
lookahead,dynamic_duopoly,before,final,90083,101.5802,1.000000
twap,dynamic_duopoly,before,final,90083,109.2727,1.000000
lookahead,dynamic_duopoly,before,final,90084,148.8300,1.000000
twap,dynamic_duopoly,before,final,90084,132.2855,1.000000
lookahead,dynamic_duopoly,before,final,90085,57.1328,1.000000
twap,dynamic_duopoly,before,final,90085,108.8375,1.000000
lookahead,dynamic_duopoly,before,final,90086,124.8928,1.000000
twap,dynamic_duopoly,before,final,90086,133.2569,1.000000
lookahead,dynamic_duopoly,before,final,90087,62.2181,1.000000
twap,dynamic_duopoly,before,final,90087,101.8459,1.000000
lookahead,dynamic_duopoly,before,final,90088,131.8543,1.000000
twap,dynamic_duopoly,before,final,90088,118.1659,1.000000
lookahead,dynamic_duopoly,before,final,90089,73.6007,1.000000
twap,dynamic_duopoly,before,final,90089,103.7437,1.000000
lookahead,dynamic_duopoly,before,final,90090,122.7423,1.000000
twap,dynamic_duopoly,before,final,90090,111.5899,1.000000
lookahead,dynamic_duopoly,before,final,90091,115.1382,1.000000
