mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,43,268.2099,0.9997,49.9852,253.6071,489.9280,100.0000,0.5063,118.1180,9,629.9984,50,-0.026821
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,44,154.4500,0.9997,49.9852,130.6069,276.2050,100.0000,0.5242,72.3328,10,236.7416,50,-0.015445
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,45,116.3130,0.9997,49.9852,106.7365,235.4146,100.0000,0.5023,69.3261,11,177.9790,50,-0.011631
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,46,246.7482,0.9997,49.9852,232.7975,453.2828,100.0000,0.5012,129.0151,8,462.4340,50,-0.024675
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,47,203.1670,0.9997,49.9852,184.8997,369.8569,100.0000,0.5568,88.6600,6,356.3551,50,-0.020317
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,48,156.3645,0.9997,49.9852,138.0773,289.0566,100.0000,0.5000,68.6992,8,276.9174,50,-0.015636
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,49,142.6515,0.9997,49.9852,115.0328,249.6394,100.0000,0.5822,72.7074,11,147.3029,50,-0.014265
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,0,119.5113,0.9997,49.9852,98.9572,222.2777,100.0000,0.5028,62.2549,12,157.8007,50,-0.011951
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,1,118.2649,0.9997,49.9852,94.3473,214.2836,100.0000,0.5154,66.9430,12,113.9714,50,-0.011826
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,2,128.1829,0.9997,49.9852,116.5466,252.1709,100.0000,0.5054,66.7553,11,180.3108,50,-0.012818
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,3,107.0062,0.9997,49.9852,88.4499,204.2938,100.0000,0.5355,55.9162,10,64.2253,50,-0.010701
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,4,116.5201,0.9997,49.9852,91.1749,208.9003,100.0000,0.5020,67.1081,14,116.9016,50,-0.011652
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.5,5,122.5392,0.9997,49.9852,98.8242,222.0617,100.0000,0.5333,57.2579,12,152.7695,50,-0.012254
