policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,60.99127536661899,18,0.004536299633815279,0.004464113981559979,30.56644977738997,29.143986535696058,77.8621125742871,0.9873886559570313,23.37204431991587,32.36663326428982,161.83316632144908,49.369432797851566,5.999999999999999,30.0,79.78499831790323,DynamicDuopoly,50,0.6110696792317032,0.7356583111537797,0.26434168884622034,30025,108.77447981321016,44.513533420410596,2.52226880859375,-0.01087744798132103,0.72
rl,test,48.615370517166866,14,0.0041626238010665315,0.004309632569939541,23.15140950039681,26.048287825339436,75.38594103828825,0.975088703125,21.855117782911606,28.435391711373313,142.17695855686657,48.75443515625,5.199999999999999,26.0,83.85851815441967,DynamicDuopoly,50,0.5405167205558172,0.6423318666986019,0.35766813330139824,30026,105.54535663879403,45.07258776950889,4.982259375,-0.0105545356638794,0.78
rl,test,42.52770605804062,14,0.0045250697407036855,0.004731834711475927,30.370199463929197,34.44451384905565,73.32415372767402,0.9816126603853514,-6.788073789081698,32.834209711041176,164.17104855520586,49.08063301926757,6.800000000000001,34.0,71.6210825188896,DynamicDuopoly,50,0.7940628711892725,0.883446783262862,0.11655321673713798,30027,75.66531174497436,39.14170790008541,3.677467922929688,-0.007566531174497454,0.68
rl,test,50.50469124476149,21,0.004808588962681186,0.004827356722073611,35.99411310707664,36.36385209240015,94.10368063738177,0.9810829839355469,-39.37152618867454,37.62732648488361,188.13663242441805,49.054149196777345,5.6,28.0,91.49356571905096,DynamicDuopoly,50,0.7197355081138785,0.8314630508170394,0.16853694918296047,30028,62.33539682325711,54.69619331415665,3.7834032128906254,-0.006233539682325617,0.72
rl,test,55.27371976440509,15,0.004211384171355822,0.004278676788089279,24.11401599359856,25.440012279675514,71.20393099015782,0.984677216987793,-6.8778019442025355,31.644426522482103,158.22213261241052,49.23386084938965,6.4,32.0,69.90387134285221,DynamicDuopoly,50,0.7051416365288807,0.8202667923223392,0.17973320767766085,30029,72.69964326421945,38.468462083497364,3.064556602441406,-0.007269964326421814,0.68
rl,test,39.44997501094167,20,0.004619581319898134,0.0047363580942517145,32.242262506362465,34.54338572937256,76.71004420992408,0.9813828186401682,10.218920768619588,34.40993517677355,172.04967588386774,49.06914093200841,7.2,36.0,71.53488196429203,DynamicDuopoly,50,0.6575691434458595,0.7806858951264379,0.219314104873562,30030,96.42427644533844,40.87198422797364,3.723436271966308,-0.009642427644533316,0.64
rl,test,41.71201407995886,14,0.004640317723580856,0.004715914948401201,32.65098636033445,34.140532280642184,71.41471396588588,0.9816126603853516,-24.69732406794185,31.801380538071818,159.00690269035908,49.08063301926758,6.4,32.0,70.1693897803065,DynamicDuopoly,50,0.9050875232451456,0.9500486213983694,0.04995137860163056,30031,55.48173122169905,38.300206828640356,3.677467922929688,-0.00554817312217,0.68
rl,test,61.4987789192337,10,0.0042871370848411,0.004454666946789236,25.63133754902226,28.93254471008172,77.25482318758536,0.9877417735902343,8.881554696091706,34.055638067415295,170.27819033707647,49.38708867951171,6.800000000000001,34.0,73.59260122064688,DynamicDuopoly,50,0.7029179013379621,0.8185262166117273,0.18147378338827277,30032,94.4410160517524,42.25217800629023,2.4516452819531254,-0.009444101605175028,0.68
rl,test,48.2773411008111,16,0.004652633435334485,0.004693570809564351,32.892617635892286,33.69924813949074,79.9335145880368,0.9862094952890138,-18.496632043582597,34.82534665009352,174.12673325046762,49.31047476445069,6.800000000000001,34.0,76.7955233189836,DynamicDuopoly,50,0.7386096693565769,0.8454053194122645,0.15459468058773546,30033,69.89265997715796,44.00584442845127,2.758100942197266,-0.006989265997715909,0.66
rl,test,73.13929195125729,15,0.004529109164728096,0.004534958393647884,30.430972638604153,30.546204216487,76.51450839305221,0.961214205500351,21.44604081398655,32.61257421260689,163.06287106303444,48.06071027501755,6.800000000000001,34.0,70.93613497789948,DynamicDuopoly,50,0.6457554741460978,0.7699587692093903,0.2300412307906097,30034,109.5500321081924,40.93425818167073,7.7571588999298084,-0.01095500321081941,0.66
rl,test,46.392599865048396,16,0.004488966020936684,0.004508401061737645,29.633400133865948,30.016343546557277,77.34568686423692,0.9655237382225343,27.358711942549007,33.09574544031807,165.47872720159035,48.276186911126715,6.4,32.0,73.18815669201301,DynamicDuopoly,50,0.6411791272676484,0.7656869654947795,0.23431303450522045,30035,115.33306101458817,41.583351276229536,6.895252355493163,-0.011533306101458949,0.68
rl,test,71.88809803543154,18,0.004824198857271302,0.004782407243056987,36.29885628069176,35.475261468162984,77.41403527941627,0.9897848113251954,0.08841231364880944,33.718119244701185,168.59059622350594,49.48924056625977,6.800000000000001,34.0,72.44350366825967,DynamicDuopoly,50,0.6767035316725192,0.7972402493543894,0.2027597506456106,30036,85.55468635156892,42.905117058257865,2.0430377349609374,-0.008555468635156886,0.68
rl,test,56.90846606056812,16,0.0046303755022930725,0.004719058617711934,32.454339478736344,34.20179611567447,82.137854330982,0.9834513943468164,-0.5425513203705241,36.054816134488256,180.2740806724413,49.17256971734082,7.2,36.0,72.53511292008841,DynamicDuopoly,50,0.7410666803167303,0.8471791182637072,0.1528208817362929,30037,90.74575718072502,44.72377123597166,3.3097211306367176,-0.009074575718072622,0.66
rl,test,100.8259851368316,21,0.004878759542924328,0.004898171262679307,37.39065960781969,37.77306037007209,83.44838777004541,0.9908063301926758,-53.32038645583443,35.996677902496366,179.98338951248184,49.54031650963379,6.800000000000001,34.0,75.81167501564266,DynamicDuopoly,50,0.7261446957935862,0.836262320066928,0.163737679933072,30038,37.999538352564215,46.684512944437685,1.838733961464844,-0.0037999538352564287,0.66
rl,test,73.8700440005432,15,0.00468501610469088,0.004716112247894296,33.53605751889684,34.148823090115286,87.59393343998248,0.9848663871484377,-24.36017882233777,35.62531000497434,178.12655002487168,49.24331935742188,5.999999999999999,30.0,84.62192070521117,DynamicDuopoly,50,0.6354108687401638,0.760202679406039,0.23979732059396103,30039,70.93486451112862,50.643010758181916,3.0267225703125,-0.007093486451113095,0.72
rl,test,73.26503147181347,16,0.004713895279931109,0.004817837738208475,34.11787166239906,36.16619994873831,76.51591593563306,0.9829746855419923,-25.835912986114113,32.670301659524604,163.351508297623,49.148734277099614,5.999999999999999,30.0,76.34415053397723,DynamicDuopoly,50,0.5508191379134474,0.6594037921654429,0.3405962078345571,30040,58.78235831127284,42.542906746261814,3.405062891601562,-0.005878235831127375,0.7
rl,test,71.26967604107722,21,0.004631885808950574,0.0047826309176432205,32.490461972662224,35.460925527123216,81.02737626160216,0.9865956294209214,14.389970863613119,36.412744689114945,182.06372344557474,49.32978147104607,7.6000000000000005,38.0,70.2804577068947,DynamicDuopoly,50,0.8980708389980478,0.9461338582746482,0.0538661417253518,30041,104.6121002625695,43.528510594026265,2.6808741158157425,-0.010461210026257006,0.62
