policy,seed_set,seed,shortfall_bps,completion_rate
lookahead,final,90067,95.6107,1.0000
twap,final,90067,115.2550,1.0000
stochastic_planner,final,90068,73.2498,1.0000
lookahead,final,90068,52.8276,1.0000
twap,final,90068,107.8866,1.0000
stochastic_planner,final,90069,88.6040,1.0000
lookahead,final,90069,91.6615,1.0000
twap,final,90069,112.6335,1.0000
stochastic_planner,final,90070,98.9717,1.0000
lookahead,final,90070,96.9845,1.0000
twap,final,90070,97.5697,1.0000
stochastic_planner,final,90071,72.1049,1.0000
lookahead,final,90071,68.6537,1.0000
twap,final,90071,108.0025,1.0000
stochastic_planner,final,90072,70.5508,1.0000
lookahead,final,90072,70.2737,1.0000
twap,final,90072,100.9301,1.0000
stochastic_planner,final,90073,23.1788,1.0000
lookahead,final,90073,52.0554,1.0000
twap,final,90073,65.7966,1.0000
stochastic_planner,final,90074,99.6647,1.0000
lookahead,final,90074,112.6208,1.0000
twap,final,90074,120.5101,1.0000
stochastic_planner,final,90075,104.2834,1.0000
lookahead,final,90075,100.6145,1.0000
twap,final,90075,118.6101,1.0000
stochastic_planner,final,90076,73.9566,1.0000
lookahead,final,90076,70.7450,1.0000
twap,final,90076,98.0773,1.0000
stochastic_planner,final,90077,112.2669,1.0000
lookahead,final,90077,123.2509,1.0000
twap,final,90077,115.6404,1.0000
stochastic_planner,final,90078,76.0799,1.0000
lookahead,final,90078,75.5212,1.0000
twap,final,90078,99.7978,1.0000
stochastic_planner,final,90079,112.0146,1.0000
lookahead,final,90079,100.0657,1.0000
twap,final,90079,110.8853,1.0000
stochastic_planner,final,90080,96.2224,1.0000
lookahead,final,90080,91.1350,1.0000
twap,final,90080,112.3529,1.0000
stochastic_planner,final,90081,111.2095,1.0000
lookahead,final,90081,110.6581,1.0000
twap,final,90081,118.6274,1.0000
stochastic_planner,final,90082,105.6598,1.0000
lookahead,final,90082,106.2753,1.0000
twap,final,90082,125.5778,1.0000
stochastic_planner,final,90083,96.4605,1.0000
lookahead,final,90083,101.5802,1.0000
twap,final,90083,109.2727,1.0000
stochastic_planner,final,90084,135.8030,1.0000
lookahead,final,90084,148.8300,1.0000
twap,final,90084,132.2855,1.0000
stochastic_planner,final,90085,75.0622,1.0000
lookahead,final,90085,57.1328,1.0000
twap,final,90085,108.8375,1.0000
stochastic_planner,final,90086,138.5140,1.0000
lookahead,final,90086,124.8928,1.0000
twap,final,90086,133.2569,1.0000
stochastic_planner,final,90087,61.4977,1.0000
lookahead,final,90087,62.2181,1.0000
twap,final,90087,101.8459,1.0000
stochastic_planner,final,90088,140.3230,1.0000
lookahead,final,90088,131.8543,1.0000
twap,final,90088,118.1659,1.0000
stochastic_planner,final,90089,79.4328,1.0000
lookahead,final,90089,73.6007,1.0000
twap,final,90089,103.7437,1.0000
stochastic_planner,final,90090,120.8814,1.0000
lookahead,final,90090,122.7423,1.0000
twap,final,90090,111.5899,1.0000
stochastic_planner,final,90091,131.3188,1.0000
lookahead,final,90091,115.1382,1.0000
twap,final,90091,120.0438,1.0000
stochastic_planner,final,90092,147.4758,1.0000
lookahead,final,90092,140.5511,1.0000
twap,final,90092,110.5006,1.0000
stochastic_planner,final,90093,83.2427,1.0000
lookahead,final,90093,80.0429,1.0000
twap,final,90093,95.5385,1.0000
stochastic_planner,final,90094,104.5999,1.0000
lookahead,final,90094,101.8853,1.0000
twap,final,90094,113.6007,1.0000
stochastic_planner,final,90095,75.2266,1.0000
lookahead,final,90095,73.8835,1.0000
twap,final,90095,97.1636,1.0000
stochastic_planner,final,90096,62.9829,1.0000
lookahead,final,90096,66.1206,1.0000
twap,final,90096,96.0751,1.0000
stochastic_planner,final,90097,111.0785,1.0000
lookahead,final,90097,99.1407,1.0000
twap,final,90097,107.7571,1.0000
stochastic_planner,final,90098,105.0608,1.0000
lookahead,final,90098,121.4858,1.0000
twap,final,90098,114.8621,1.0000
stochastic_planner,final,90099,84.8743,1.0000
lookahead,final,90099,89.8875,1.0000
twap,final,90099,111.9074,1.0000
stochastic_planner,final,90100,107.1803,1.0000
lookahead,final,90100,94.1229,1.0000
twap,final,90100,110.1174,1.0000
stochastic_planner,final,90101,87.8099,1.0000
lookahead,final,90101,89.3070,1.0000
twap,final,90101,114.5347,1.0000
stochastic_planner,final,90102,75.0528,1.0000
lookahead,final,90102,79.7241,1.0000
twap,final,90102,108.1322,1.0000
stochastic_planner,final,90103,96.2127,1.0000
lookahead,final,90103,97.2456,1.0000
twap,final,90103,107.3037,1.0000
stochastic_planner,final,90104,110.4925,1.0000
lookahead,final,90104,108.6862,1.0000
twap,final,90104,79.7720,1.0000
stochastic_planner,final,90105,143.0226,1.0000
lookahead,final,90105,144.3489,1.0000
twap,final,90105,122.9166,1.0000
stochastic_planner,final,90106,99.0513,1.0000
lookahead,final,90106,112.9326,1.0000
twap,final,90106,126.0462,1.0000
stochastic_planner,final,90107,130.2340,1.0000
lookahead,final,90107,117.3789,1.0000
twap,final,90107,120.0216,1.0000
stochastic_planner,final,90108,93.4695,1.0000
lookahead,final,90108,84.6230,1.0000
twap,final,90108,109.4740,1.0000
stochastic_planner,final,90109,115.4982,1.0000
lookahead,final,90109,124.4885,1.0000
twap,final,90109,117.4961,1.0000
stochastic_planner,final,90110,92.4780,1.0000
lookahead,final,90110,82.8037,1.0000
twap,final,90110,112.9850,1.0000
stochastic_planner,final,90111,170.7158,1.0000
lookahead,final,90111,168.3715,1.0000
twap,final,90111,139.8144,1.0000
stochastic_planner,final,90112,74.1923,1.0000
lookahead,final,90112,89.0616,1.0000
twap,final,90112,102.6547,1.0000
stochastic_planner,final,90113,102.4305,1.0000
lookahead,final,90113,125.7654,1.0000
twap,final,90113,115.1198,1.0000
stochastic_planner,final,90114,129.4134,1.0000
lookahead,final,90114,125.2813,1.0000
twap,final,90114,123.0747,1.0000
stochastic_planner,final,90115,108.4344,1.0000
lookahead,final,90115,119.0030,1.0000
twap,final,90115,106.0081,1.0000
stochastic_planner,final,90116,60.4941,1.0000
lookahead,final,90116,64.3570,1.0000
twap,final,90116,87.9824,1.0000
stochastic_planner,final,90117,126.9202,1.0000
lookahead,final,90117,129.2947,1.0000
twap,final,90117,117.9662,1.0000
stochastic_planner,final,90118,167.8261,1.0000
lookahead,final,90118,169.7668,1.0000
twap,final,90118,130.9250,1.0000
stochastic_planner,final,90119,133.1258,1.0000
lookahead,final,90119,142.1240,1.0000
twap,final,90119,127.5622,1.0000
stochastic_planner,final,90120,112.5790,1.0000
lookahead,final,90120,122.0727,1.0000
twap,final,90120,129.5389,1.0000
stochastic_planner,final,90121,94.4418,1.0000
lookahead,final,90121,90.6736,1.0000
twap,final,90121,105.0982,1.0000
stochastic_planner,final,90122,133.6496,1.0000
lookahead,final,90122,142.6294,1.0000
twap,final,90122,124.7112,1.0000
stochastic_planner,final,90123,126.7896,1.0000
lookahead,final,90123,132.8191,1.0000
twap,final,90123,127.8316,1.0000
stochastic_planner,final,90124,31.6285,1.0000
lookahead,final,90124,16.0822,1.0000
twap,final,90124,83.3357,1.0000
stochastic_planner,final,90125,31.8894,1.0000
lookahead,final,90125,6.3498,1.0000
twap,final,90125,78.2695,1.0000
stochastic_planner,final,90126,90.6336,1.0000
lookahead,final,90126,83.8180,1.0000
twap,final,90126,102.8410,1.0000
stochastic_planner,final,90127,132.0073,1.0000
lookahead,final,90127,142.2441,1.0000
twap,final,90127,132.4092,1.0000
