policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,56.146081876078824,14,0.004478099081215554,0.004587791771242475,29.425938318128175,31.587717774166276,81.2092897270513,0.998896759623121,31.938634357508136,41.58363938843905,207.91819694219527,49.94483798115605,0.0,8.4,42.0,62.80072535522172,DynamicDuopoly,50,0.5048686372036087,0.45066118564654734,0.5493388143534526,30020,121.67897879253185,39.5360569712077,0.22064807537578124,-0.012167897879253054,0.6
rl,test,154.1728314382026,15,0.004387930970664035,0.004900965491365748,27.670802907946932,37.780881039266454,100.1444232602611,0.9932739498437501,-35.82380488389636,40.377614100256764,201.88807050128383,49.6636974921875,0.0,6.4,32.0,84.32334589882348,DynamicDuopoly,50,0.6546045135176137,0.22196716604183805,0.7780328339581619,30021,71.39225199389647,59.0932327462871,1.3452100312499997,-0.007139225199389755,0.72
rl,test,77.94912044999319,18,0.004243003903292645,0.004933987751967545,24.804030822657804,38.4206096290112,90.96767357662206,0.9940425019648539,-36.65695677656952,43.9445898373276,219.722949186638,49.702125098242696,0.0,8.0,40.0,71.22122788848544,DynamicDuopoly,50,0.8085330857526796,0.10723220234298775,0.8927677976570123,30022,62.960276670487616,46.48114400269991,1.1914996070292188,-0.006296027667048736,0.62
rl,test,79.06520712377642,15,0.00432215198493995,0.005006226615347724,26.378468485372505,39.85887490938604,93.34901652792225,0.9803868377443749,2.2070410100929996,43.73460796875748,218.67303984378736,49.019341887218744,0.0,6.4,32.0,81.32308096923384,DynamicDuopoly,50,0.7180709401372665,0.1697948061149958,0.8302051938850042,30023,104.04782058157525,47.7835391515996,3.9226324511249997,-0.010404782058157529,0.7
rl,test,115.36926121146735,14,0.004510143137194156,0.005167868200570266,30.117080151647414,43.07822812509691,100.69139748377992,0.9901934188721875,-29.149425342066916,50.490666481331225,252.4533324066561,49.50967094360937,0.0,7.2,36.0,75.3634611604611,DynamicDuopoly,50,0.7905591354240242,0.11884443108881115,0.881155568911189,30024,79.71585000897875,49.213292644151196,1.9613162255624998,-0.007971585000897808,0.68
rl,test,101.85380595085007,15,0.004583347452470461,0.005013830955893134,31.55184264718176,40.03482686894201,91.12569528724013,0.9857020047156493,16.568502477241875,44.51161686288253,222.55808431441267,49.285100235782465,0.0,7.6000000000000005,38.0,72.19998636717851,DynamicDuopoly,50,0.6568436878884876,0.21996099567338154,0.7800390043266184,30025,116.85088205985338,45.31116366285747,2.859599056870125,-0.011685088205985213,0.64
rl,test,87.54450000941097,13,0.004479842671725189,0.004568583370959652,29.45867664477489,31.207369519907083,82.61799582237883,0.9920566692864717,28.014115507109484,42.46142439585527,212.3071219792763,49.60283346432359,0.0,7.6000000000000005,38.0,66.00430338358143,DynamicDuopoly,50,0.5201791506351723,0.3995531219121962,0.6004468780878038,30026,119.16451540848982,39.50030936281752,1.588666142705625,-0.011916451540848803,0.64
rl,test,64.82717101564867,14,0.0042212856979259835,0.004714826814755783,24.35264397291456,34.07829264578281,89.36054840706198,0.9841133385729437,-0.8766246626827002,43.71277673543193,218.56388367715965,49.20566692864718,0.0,6.800000000000001,34.0,70.39574907765649,DynamicDuopoly,50,0.8338214969578448,0.09145288095628133,0.9085471190437187,30027,97.04161525231262,44.22813089415097,3.17733228541125,-0.009704161525231143,0.66
rl,test,71.97360101356071,20,0.004442755225017189,0.005301978063693701,28.795645411910428,45.72752731774614,94.36851379646811,0.9935659021220421,-34.87444082962799,44.42603011549275,222.13015057746378,49.678295106102105,0.0,8.4,42.0,73.36194921495772,DynamicDuopoly,50,0.9017555285818357,0.0518061085970518,0.9481938914029483,30028,68.57371628806567,49.33530742661146,1.2868195755915561,-0.006857371628806773,0.6
rl,test,77.76868770912597,14,0.0042614219333488535,0.0049978102371963685,25.17500054108817,39.68630142234895,87.56185337434722,0.9803868377443749,-5.2986598379111465,41.06359777134314,205.31798885671571,49.019341887218744,0.0,6.4,32.0,76.02244320162801,DynamicDuopoly,50,0.8527628122259968,0.08002213616310878,0.9199778638368913,30029,90.86846114992751,44.780890765369755,3.9226324511249997,-0.00908684611499267,0.7
rl,test,91.26109597343748,17,0.004560929060998439,0.005122026225967143,31.118425732019936,42.17529301512545,87.93414371185584,0.9823481539699374,12.597997769074615,40.83111606028992,204.15558030144962,49.11740769849687,0.0,6.800000000000001,34.0,72.45028174180696,DynamicDuopoly,50,0.6641353867970972,0.2135254053174198,0.7864745946825802,30030,109.31031072135909,45.55082768597884,3.5303692060125,-0.0109310310721356,0.68
rl,test,75.15647438382848,13,0.004154555371455904,0.004888778836967756,23.048122069174724,37.51661482790416,86.26693612642408,0.994209311909838,-21.139621132670264,43.72352167465575,218.61760837327876,49.7104655954919,0.0,8.4,42.0,63.20286618163544,DynamicDuopoly,50,1.0,0.0,1.0,30031,74.18590769218373,42.04386953216629,1.1581376180324006,-0.007418590769218414,0.58
rl,test,60.672035730999596,13,0.004315014542224185,0.004198115225444807,26.158356614105514,23.854934586957132,75.99235842326105,0.9920566692864717,15.624807355574765,41.113137482434865,205.56568741217433,49.60283346432359,0.0,7.6000000000000005,38.0,60.843289554486724,DynamicDuopoly,50,0.500488153548565,0.5156229566434309,0.484377043356569,30032,100.20219948688653,34.27558850616924,1.588666142705625,-0.010020219948688446,0.64
rl,test,74.01086415652435,15,0.004575944522766341,0.005036857534205637,31.407417938355266,40.49011870298309,91.13674493699922,0.9940425019648539,-16.79250521479579,46.842726087918585,234.21363043959292,49.702125098242696,0.0,8.0,40.0,66.91310359793732,DynamicDuopoly,50,0.6847153474268628,0.19609594653339782,0.8039040534666022,30033,82.99279235034189,43.751071870188845,1.1914996070292188,-0.008299279235034065,0.62
rl,test,81.48978194956953,17,0.004756855576683068,0.004694221121250803,34.956702237432175,33.722402209492195,91.21945880680465,0.9901934188721875,25.00321433001005,43.33512976438997,216.67564882194984,49.50967094360937,0.0,6.800000000000001,34.0,74.49180991747471,DynamicDuopoly,50,0.5003439418611659,0.48688623125935976,0.5131137687406402,30034,124.08943833915373,46.98977801919062,1.9613162255624998,-0.012408943833915302,0.68
rl,test,66.64008802208446,15,0.004343844742453817,0.004802265451791441,26.788196233106945,35.821819872737535,92.64561202601881,0.9911740769849686,29.767432953143953,46.47018458280771,232.35092291403856,49.55870384924843,0.0,7.2,36.0,72.84332895229836,DynamicDuopoly,50,0.5752978308260839,0.30596671570825307,0.694033284291747,30035,130.56054654274826,45.35774440378899,1.76518460300625,-0.01305605465427468,0.66
rl,test,87.60186485655186,17,0.0045448966807732395,0.0048258879149716116,30.771980317522704,36.30923633574567,88.6237792023355,0.9911740769849686,5.738212567847103,44.635143901573464,223.1757195078673,49.55870384924843,0.0,7.2,36.0,71.8087310778896,DynamicDuopoly,50,0.5991583431373575,0.2773361916056433,0.7226638083943566,30036,102.5449897206495,43.206448648221084,1.76518460300625,-0.0102544989720648,0.66
rl,test,90.48314408303395,15,0.004510871743393995,0.004836590047708844,30.09915931752874,36.51804049214591,99.75459541320971,0.9823481539699374,3.0320056150229315,45.54999614083652,227.74998070418258,49.11740769849687,0.0,6.800000000000001,34.0,77.38611668253078,DynamicDuopoly,50,0.5963161027740973,0.28055057214235274,0.7194494278576472,30037,111.35611747521858,52.44374651334803,3.5303692060125,-0.011135611747521984,0.68
rl,test,132.46403725807613,20,0.004629076527697484,0.0051709181276770365,32.472619670333586,43.15031648766316,103.8423832633126,0.9918278490601563,-63.96746128377209,46.39476077962077,231.97380389810382,49.59139245300781,0.0,6.800000000000001,34.0,82.78129505944116,DynamicDuopoly,50,0.6986122876578074,0.18487122659315333,0.8151287734068466,30038,47.46073653752733,56.59900685371095,1.63443018796875,-0.004746073653752781,0.68
