policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
twap,dynamic_duopoly,before,final,90103,107.3037,1.000000
lookahead,dynamic_duopoly,before,final,90104,121.2517,1.000000
twap,dynamic_duopoly,before,final,90104,79.7720,1.000000
lookahead,dynamic_duopoly,before,final,90105,198.1786,1.000000
twap,dynamic_duopoly,before,final,90105,122.9166,1.000000
lookahead,dynamic_duopoly,before,final,90106,131.7994,1.000000
twap,dynamic_duopoly,before,final,90106,126.0462,1.000000
lookahead,dynamic_duopoly,before,final,90107,111.8697,1.000000
twap,dynamic_duopoly,before,final,90107,120.0216,1.000000
lookahead,dynamic_duopoly,before,final,90108,64.1094,1.000000
twap,dynamic_duopoly,before,final,90108,109.4740,1.000000
lookahead,dynamic_duopoly,before,final,90109,133.5527,1.000000
twap,dynamic_duopoly,before,final,90109,117.4961,1.000000
lookahead,dynamic_duopoly,before,final,90110,54.8787,1.000000
twap,dynamic_duopoly,before,final,90110,112.9850,1.000000
lookahead,dynamic_duopoly,before,final,90111,170.5424,1.000000
twap,dynamic_duopoly,before,final,90111,139.8144,1.000000
lookahead,dynamic_duopoly,before,final,90112,71.9459,1.000000
twap,dynamic_duopoly,before,final,90112,102.6547,1.000000
lookahead,dynamic_duopoly,before,final,90113,140.5940,1.000000
twap,dynamic_duopoly,before,final,90113,115.1198,1.000000
lookahead,dynamic_duopoly,before,final,90114,98.8262,1.000000
twap,dynamic_duopoly,before,final,90114,123.0747,1.000000
lookahead,dynamic_duopoly,before,final,90115,153.4756,1.000000
twap,dynamic_duopoly,before,final,90115,106.0081,1.000000
lookahead,dynamic_duopoly,before,final,90116,39.2895,1.000000
twap,dynamic_duopoly,before,final,90116,87.9824,1.000000
lookahead,dynamic_duopoly,before,final,90117,121.3922,1.000000
twap,dynamic_duopoly,before,final,90117,117.9662,1.000000
lookahead,dynamic_duopoly,before,final,90118,132.1974,1.000000
twap,dynamic_duopoly,before,final,90118,130.9250,1.000000
lookahead,dynamic_duopoly,before,final,90119,122.4135,1.000000
twap,dynamic_duopoly,before,final,90119,127.5622,1.000000
lookahead,dynamic_duopoly,before,final,90120,121.3949,1.000000
twap,dynamic_duopoly,before,final,90120,129.5389,1.000000
lookahead,dynamic_duopoly,before,final,90121,64.4624,1.000000
twap,dynamic_duopoly,before,final,90121,105.0982,1.000000
lookahead,dynamic_duopoly,before,final,90122,134.3785,1.000000
twap,dynamic_duopoly,before,final,90122,124.7112,1.000000
lookahead,dynamic_duopoly,before,final,90123,145.1523,1.000000
twap,dynamic_duopoly,before,final,90123,127.8316,1.000000
lookahead,dynamic_duopoly,before,final,90124,29.7260,1.000000
twap,dynamic_duopoly,before,final,90124,83.3357,1.000000
lookahead,dynamic_duopoly,before,final,90125,-50.9116,1.000000
twap,dynamic_duopoly,before,final,90125,78.2695,1.000000
lookahead,dynamic_duopoly,before,final,90126,63.6512,1.000000
twap,dynamic_duopoly,before,final,90126,102.8410,1.000000
lookahead,dynamic_duopoly,before,final,90127,142.2875,1.000000
twap,dynamic_duopoly,before,final,90127,132.4092,1.000000
lookahead,dynamic_duopoly,before,final,90128,134.0082,1.000000
twap,dynamic_duopoly,before,final,90128,105.2541,1.000000
lookahead,dynamic_duopoly,before,final,90129,53.3451,1.000000
twap,dynamic_duopoly,before,final,90129,112.3520,1.000000
lookahead,dynamic_duopoly,before,final,90130,180.5449,1.000000
twap,dynamic_duopoly,before,final,90130,171.1455,1.000000
lookahead,dynamic_duopoly,before,final,90131,119.8393,1.000000
twap,dynamic_duopoly,before,final,90131,104.8260,1.000000
lookahead,dynamic_duopoly,before,final,90132,139.6387,1.000000
twap,dynamic_duopoly,before,final,90132,116.3131,1.000000
lookahead,dynamic_duopoly,before,final,90133,132.4513,1.000000
twap,dynamic_duopoly,before,final,90133,123.7652,1.000000
lookahead,dynamic_duopoly,before,final,90134,85.4585,1.000000
twap,dynamic_duopoly,before,final,90134,97.5616,1.000000
lookahead,dynamic_duopoly,before,final,90135,84.0947,1.000000
twap,dynamic_duopoly,before,final,90135,110.2599,1.000000
lookahead,dynamic_duopoly,before,final,90136,98.1283,1.000000
twap,dynamic_duopoly,before,final,90136,110.3820,1.000000
lookahead,dynamic_duopoly,before,final,90137,176.4113,1.000000
twap,dynamic_duopoly,before,final,90137,133.1842,1.000000
lookahead,dynamic_duopoly,before,final,90138,128.4114,1.000000
twap,dynamic_duopoly,before,final,90138,109.1850,1.000000
