policy,agent_order,seed,shortfall_bps,completion_rate,forced_terminal_cost_bps,wait_share
dqn_order_random,random,90153,140.0505,1.0,12.6421,0.8
dqn_order_random,random,90154,75.996,1.0,1.7426,0.76
dqn_order_random,random,90155,111.4855,1.0,2.9382,0.74
dqn_order_random,random,90156,99.2057,1.0,2.1808,0.74
dqn_order_random,random,90157,59.4322,1.0,2.8089,0.74
dqn_order_random,random,90158,46.2971,1.0,0.8126,0.66
dqn_order_random,random,90159,90.2974,1.0,2.0862,0.72
dqn_order_random,random,90160,67.0541,1.0,1.1738,0.72
dqn_order_random,random,90161,172.3378,1.0,6.3388,0.78
dqn_order_random,random,90162,114.9921,1.0,6.7347,0.72
dqn_order_random,random,90163,211.7415,1.0,95.4044,0.82
dqn_order_random,random,90164,125.318,1.0,6.7422,0.72
dqn_order_random,random,90165,69.342,1.0,2.5569,0.74
dqn_order_random,random,90166,82.5179,1.0,3.8125,0.78
dqn_order_random,random,90167,45.124,1.0,0.6837,0.64
dqn_order_random,random,90168,86.2911,1.0,2.6883,0.74
dqn_order_random,random,90169,76.4497,1.0,3.2139,0.72
dqn_order_random,random,90170,46.959,1.0,0.7037,0.64
dqn_order_random,random,90171,123.7673,1.0,12.4361,0.78
dqn_order_random,random,90172,74.6516,1.0,2.0661,0.72
dqn_order_random,random,90173,97.6424,1.0,4.7179,0.76
dqn_order_random,random,90174,197.5223,1.0,104.3406,0.8
dqn_order_random,random,90175,96.7266,1.0,3.1765,0.78
dqn_order_random,random,90176,73.12,1.0,2.9312,0.74
dqn_order_random,random,90177,128.2751,1.0,8.3912,0.74
dqn_order_random,random,90178,134.2782,1.0,3.4017,0.7
dqn_order_random,random,90179,68.0361,1.0,1.2031,0.7
dqn_order_random,random,90180,37.2809,1.0,0.8925,0.78
dqn_order_random,random,90181,63.1034,1.0,1.3284,0.68
dqn_order_random,random,90182,76.298,1.0,3.6407,0.74
dqn_order_random,random,90183,125.8756,1.0,4.3296,0.76
dqn_order_random,random,90184,102.5977,1.0,2.3461,0.76
dqn_order_random,random,90185,83.2038,1.0,2.4879,0.76
dqn_order_random,random,90186,135.3188,1.0,5.6537,0.78
dqn_order_random,random,90187,95.3818,1.0,1.5924,0.76
dqn_order_random,random,90188,110.8849,1.0,4.0602,0.74
dqn_order_random,random,90189,63.4118,1.0,2.5654,0.72
dqn_order_random,random,90190,252.5046,1.0,152.2823,0.84
dqn_order_random,random,90191,124.708,1.0,10.8387,0.76
dqn_order_random,random,90192,28.2013,1.0,0.6423,0.72
dqn_order_random,random,90193,89.9192,1.0,3.2126,0.74
dqn_order_random,random,90194,75.4657,1.0,2.0559,0.76
dqn_order_random,random,90195,34.4636,1.0,0.7676,0.66
dqn_order_random,random,90196,76.5502,1.0,0.9095,0.72
dqn_order_random,random,90197,47.8958,1.0,3.1178,0.76
dqn_order_random,random,90198,129.1941,1.0,3.2281,0.74
dqn_order_random,random,90199,80.1409,1.0,3.3704,0.72
dqn_order_random,random,90200,110.6134,1.0,3.3685,0.72
dqn_order_random,random,90201,69.6979,1.0,0.5555,0.78
dqn_order_random,random,90202,203.6415,1.0,99.5035,0.9
dqn_order_random,random,90203,216.5405,1.0,109.3751,0.84
dqn_order_random,random,90204,130.2214,1.0,3.3847,0.72
dqn_order_random,random,90205,110.9592,1.0,3.1366,0.76
dqn_order_random,random,90206,87.9847,1.0,3.1985,0.76
dqn_order_random,random,90207,108.0235,1.0,2.4812,0.72
dqn_order_random,random,90208,67.9134,1.0,2.0171,0.72
dqn_order_random,random,90209,41.4388,1.0,0.0842,0.62
dqn_order_random,random,90210,100.2216,1.0,3.4593,0.74
dqn_order_random,random,90211,143.3741,1.0,9.8926,0.76
dqn_order_random,random,90212,47.8821,1.0,-1.4877,0.82
dqn_order_random,random,90213,134.4522,1.0,4.2937,0.72
dqn_order_random,random,90214,99.7943,1.0,3.9555,0.74
dqn_order_random,random,90215,78.7688,1.0,2.3499,0.76
dqn_order_random,random,90216,76.7682,1.0,2.1217,0.74
dqn_order_random,random,90217,100.8579,1.0,3.7735,0.74
dqn_order_random,random,90218,97.9454,1.0,3.104,0.74
dqn_order_random,random,90219,101.528,1.0,1.3809,0.74
dqn_order_random,random,90220,169.2145,1.0,27.4394,0.82
dqn_order_random,random,90221,117.9326,1.0,7.4534,0.74
dqn_order_random,random,90222,254.3574,1.0,209.9467,0.86
dqn_order_random,random,90223,109.3226,1.0,3.5918,0.74
dqn_order_random,random,90224,91.1149,1.0,1.9795,0.74
dqn_order_random,random,90225,132.9147,1.0,7.427,0.74
dqn_order_random,random,90226,102.8129,1.0,3.7574,0.76
dqn_order_random,random,90227,33.8338,1.0,0.8221,0.66
dqn_order_random,random,90228,118.0436,1.0,8.2025,0.74
dqn_order_random,random,90229,81.2401,1.0,1.5412,0.72
dqn_order_random,random,90230,115.3991,1.0,2.4176,0.74
dqn_order_random,random,90231,151.227,1.0,3.5068,0.76
dqn_order_random,random,90232,64.6216,1.0,0.9918,0.68
dqn_order_random,random,90233,102.5925,1.0,1.7257,0.7
dqn_order_random,random,90234,88.2191,1.0,4.2603,0.74
dqn_order_random,random,90235,70.1286,1.0,4.0039,0.74
dqn_order_random,random,90236,81.3838,1.0,3.3789,0.78
dqn_order_random,random,90237,89.3423,1.0,2.5208,0.78
dqn_order_random,random,90238,103.7443,1.0,2.3054,0.76
dqn_order_random,random,90239,84.4741,1.0,5.2686,0.72
dqn_order_random,random,90240,120.8942,1.0,7.2043,0.76
dqn_order_random,random,90241,85.7296,1.0,1.7926,0.74
dqn_order_random,random,90242,84.7251,1.0,2.5025,0.74
