policy,seed,shortfall_bps,completion_rate
q_learner,90041,127.5470,1.0000
q_learner_fine,90041,98.7080,1.0000
clairvoyant,90041,67.7272,1.0000
twap,90042,102.4887,1.0000
lookahead,90042,63.4387,1.0000
two_step,90042,65.1415,1.0000
three_step,90042,62.2459,1.0000
q_learner,90042,102.6045,1.0000
q_learner_fine,90042,86.8434,1.0000
clairvoyant,90042,36.1323,1.0000
twap,90043,105.1557,1.0000
lookahead,90043,73.1337,1.0000
two_step,90043,89.6972,1.0000
three_step,90043,79.6868,1.0000
q_learner,90043,98.6170,1.0000
q_learner_fine,90043,94.3251,1.0000
clairvoyant,90043,55.2664,1.0000
twap,90044,146.3115,1.0000
lookahead,90044,167.1217,1.0000
two_step,90044,162.7562,1.0000
three_step,90044,157.1742,1.0000
q_learner,90044,149.8207,1.0000
q_learner_fine,90044,139.7839,1.0000
clairvoyant,90044,132.9177,1.0000
twap,90045,118.2498,1.0000
lookahead,90045,111.2356,1.0000
two_step,90045,110.7876,1.0000
three_step,90045,114.8730,1.0000
q_learner,90045,111.6443,1.0000
q_learner_fine,90045,108.6028,1.0000
clairvoyant,90045,91.9671,1.0000
twap,90046,106.3069,1.0000
lookahead,90046,119.1509,1.0000
two_step,90046,119.2939,1.0000
three_step,90046,105.6325,1.0000
q_learner,90046,101.9286,1.0000
q_learner_fine,90046,89.2602,1.0000
clairvoyant,90046,85.4869,1.0000
twap,90047,90.1013,1.0000
lookahead,90047,57.1967,1.0000
two_step,90047,74.0249,1.0000
three_step,90047,54.6742,1.0000
q_learner,90047,87.3523,1.0000
q_learner_fine,90047,78.1750,1.0000
clairvoyant,90047,33.2223,1.0000
twap,90048,111.0169,1.0000
lookahead,90048,86.8854,1.0000
two_step,90048,106.6128,1.0000
three_step,90048,94.7541,1.0000
q_learner,90048,106.3154,1.0000
q_learner_fine,90048,92.9758,1.0000
clairvoyant,90048,78.2678,1.0000
twap,90049,99.8069,1.0000
lookahead,90049,104.2848,1.0000
two_step,90049,109.3727,1.0000
three_step,90049,87.7311,1.0000
q_learner,90049,92.1243,1.0000
q_learner_fine,90049,88.4063,1.0000
clairvoyant,90049,101.2571,1.0000
twap,90050,110.8305,1.0000
lookahead,90050,91.2871,1.0000
two_step,90050,100.6758,1.0000
three_step,90050,95.2792,1.0000
q_learner,90050,108.3042,1.0000
q_learner_fine,90050,99.0706,1.0000
clairvoyant,90050,78.9828,1.0000
twap,90051,126.3042,1.0000
lookahead,90051,130.4881,1.0000
two_step,90051,148.2207,1.0000
three_step,90051,125.4407,1.0000
q_learner,90051,125.2171,1.0000
q_learner_fine,90051,114.4527,1.0000
clairvoyant,90051,100.0745,1.0000
twap,90052,133.6197,1.0000
lookahead,90052,128.9581,1.0000
two_step,90052,125.8178,1.0000
three_step,90052,120.3892,1.0000
q_learner,90052,128.9873,1.0000
q_learner_fine,90052,128.3945,1.0000
clairvoyant,90052,88.4604,1.0000
twap,90053,123.6450,1.0000
lookahead,90053,103.5335,1.0000
two_step,90053,94.0680,1.0000
three_step,90053,98.2761,1.0000
q_learner,90053,121.8055,1.0000
q_learner_fine,90053,116.3356,1.0000
clairvoyant,90053,93.6908,1.0000
twap,90054,109.0485,1.0000
lookahead,90054,81.2437,1.0000
two_step,90054,87.5046,1.0000
three_step,90054,97.2008,1.0000
q_learner,90054,106.2215,1.0000
q_learner_fine,90054,94.7804,1.0000
clairvoyant,90054,62.3727,1.0000
twap,90055,98.9197,1.0000
lookahead,90055,82.1394,1.0000
two_step,90055,91.7832,1.0000
three_step,90055,92.5953,1.0000
q_learner,90055,92.8770,1.0000
q_learner_fine,90055,92.7753,1.0000
clairvoyant,90055,67.1758,1.0000
twap,90056,115.3552,1.0000
lookahead,90056,112.1367,1.0000
two_step,90056,109.4072,1.0000
three_step,90056,105.8924,1.0000
q_learner,90056,109.0824,1.0000
q_learner_fine,90056,106.9256,1.0000
clairvoyant,90056,107.8140,1.0000
twap,90057,101.3596,1.0000
lookahead,90057,76.5739,1.0000
two_step,90057,98.4556,1.0000
three_step,90057,100.6378,1.0000
q_learner,90057,105.6101,1.0000
q_learner_fine,90057,90.0240,1.0000
clairvoyant,90057,65.0497,1.0000
twap,90058,130.6581,1.0000
lookahead,90058,137.1821,1.0000
two_step,90058,143.6180,1.0000
three_step,90058,135.8072,1.0000
q_learner,90058,127.1643,1.0000
q_learner_fine,90058,121.2339,1.0000
clairvoyant,90058,99.1081,1.0000
twap,90059,128.6259,1.0000
lookahead,90059,111.4277,1.0000
two_step,90059,102.5632,1.0000
three_step,90059,101.1597,1.0000
q_learner,90059,144.5695,1.0000
q_learner_fine,90059,106.9122,1.0000
clairvoyant,90059,103.7772,1.0000
twap,90060,108.3712,1.0000
lookahead,90060,65.8599,1.0000
two_step,90060,81.5769,1.0000
three_step,90060,73.1106,1.0000
q_learner,90060,102.7587,1.0000
q_learner_fine,90060,89.5727,1.0000
clairvoyant,90060,56.4866,1.0000
twap,90061,100.0637,1.0000
lookahead,90061,76.0441,1.0000
two_step,90061,101.4758,1.0000
three_step,90061,79.8807,1.0000
q_learner,90061,96.4169,1.0000
q_learner_fine,90061,92.2679,1.0000
clairvoyant,90061,47.7066,1.0000
twap,90062,124.5707,1.0000
lookahead,90062,121.0057,1.0000
two_step,90062,125.1503,1.0000
three_step,90062,117.3517,1.0000
q_learner,90062,121.4739,1.0000
q_learner_fine,90062,112.8420,1.0000
clairvoyant,90062,101.5664,1.0000
twap,90063,105.2213,1.0000
lookahead,90063,88.4318,1.0000
two_step,90063,91.4047,1.0000
three_step,90063,69.6913,1.0000
q_learner,90063,88.3722,1.0000
q_learner_fine,90063,85.5552,1.0000
clairvoyant,90063,63.1667,1.0000
twap,90064,119.5284,1.0000
lookahead,90064,130.4504,1.0000
two_step,90064,130.3552,1.0000
three_step,90064,126.8700,1.0000
q_learner,90064,122.6963,1.0000
q_learner_fine,90064,111.7643,1.0000
clairvoyant,90064,92.2711,1.0000
twap,90065,108.3850,1.0000
lookahead,90065,91.4382,1.0000
two_step,90065,114.8820,1.0000
three_step,90065,89.9426,1.0000
q_learner,90065,103.7217,1.0000
q_learner_fine,90065,99.0709,1.0000
clairvoyant,90065,58.3603,1.0000
twap,90066,108.5859,1.0000
lookahead,90066,87.8748,1.0000
two_step,90066,95.1314,1.0000
three_step,90066,90.0132,1.0000
q_learner,90066,112.3680,1.0000
q_learner_fine,90066,91.6281,1.0000
clairvoyant,90066,65.3804,1.0000
twap,90067,115.2550,1.0000
lookahead,90067,95.6107,1.0000
two_step,90067,106.0835,1.0000
three_step,90067,110.6087,1.0000
q_learner,90067,113.4090,1.0000
q_learner_fine,90067,94.6565,1.0000
clairvoyant,90067,76.9994,1.0000
twap,90068,107.8866,1.0000
lookahead,90068,52.8276,1.0000
two_step,90068,83.8116,1.0000
three_step,90068,70.0871,1.0000
q_learner,90068,104.2117,1.0000
q_learner_fine,90068,92.9764,1.0000
clairvoyant,90068,45.0865,1.0000
twap,90069,112.6335,1.0000
lookahead,90069,91.6615,1.0000
two_step,90069,109.6647,1.0000
three_step,90069,93.1699,1.0000
q_learner,90069,110.6009,1.0000
q_learner_fine,90069,106.4028,1.0000
clairvoyant,90069,83.1255,1.0000
twap,90070,97.5697,1.0000
lookahead,90070,96.9845,1.0000
two_step,90070,111.1628,1.0000
three_step,90070,104.5353,1.0000
q_learner,90070,98.7541,1.0000
q_learner_fine,90070,91.5776,1.0000
clairvoyant,90070,74.6127,1.0000
twap,90071,108.0025,1.0000
lookahead,90071,68.6537,1.0000
two_step,90071,77.3045,1.0000
three_step,90071,79.8637,1.0000
q_learner,90071,105.7565,1.0000
q_learner_fine,90071,92.4918,1.0000
clairvoyant,90071,47.6136,1.0000
twap,90072,100.9301,1.0000
lookahead,90072,70.2737,1.0000
two_step,90072,77.8180,1.0000
three_step,90072,70.1249,1.0000
q_learner,90072,97.2372,1.0000
q_learner_fine,90072,83.5793,1.0000
clairvoyant,90072,39.7009,1.0000
twap,90073,65.7966,1.0000
lookahead,90073,52.0554,1.0000
two_step,90073,49.2166,1.0000
three_step,90073,25.9131,1.0000
q_learner,90073,65.6352,1.0000
q_learner_fine,90073,41.9157,1.0000
clairvoyant,90073,22.3526,1.0000
twap,90074,120.5101,1.0000
lookahead,90074,112.6208,1.0000
two_step,90074,110.0202,1.0000
three_step,90074,97.2172,1.0000
q_learner,90074,118.0718,1.0000
q_learner_fine,90074,112.1162,1.0000
clairvoyant,90074,104.1799,1.0000
twap,90075,118.6101,1.0000
lookahead,90075,100.6145,1.0000
two_step,90075,114.6917,1.0000
three_step,90075,106.6450,1.0000
q_learner,90075,114.5201,1.0000
q_learner_fine,90075,104.7732,1.0000
clairvoyant,90075,70.1530,1.0000
twap,90076,98.0773,1.0000
lookahead,90076,70.7450,1.0000
two_step,90076,79.1345,1.0000
three_step,90076,72.5595,1.0000
q_learner,90076,91.6621,1.0000
q_learner_fine,90076,76.9377,1.0000
clairvoyant,90076,44.5002,1.0000
twap,90077,115.6404,1.0000
lookahead,90077,123.2509,1.0000
two_step,90077,151.0990,1.0000
three_step,90077,128.9022,1.0000
q_learner,90077,105.8795,1.0000
q_learner_fine,90077,98.7267,1.0000
clairvoyant,90077,96.8212,1.0000
twap,90078,99.7978,1.0000
lookahead,90078,75.5212,1.0000
two_step,90078,90.1371,1.0000
three_step,90078,77.7788,1.0000
q_learner,90078,91.2251,1.0000
q_learner_fine,90078,87.6625,1.0000
clairvoyant,90078,66.7938,1.0000
twap,90079,110.8853,1.0000
lookahead,90079,100.0657,1.0000
two_step,90079,109.5636,1.0000
three_step,90079,106.6587,1.0000
q_learner,90079,107.8957,1.0000
q_learner_fine,90079,100.1461,1.0000
clairvoyant,90079,90.1494,1.0000
twap,90080,112.3529,1.0000
lookahead,90080,91.1350,1.0000
two_step,90080,107.4193,1.0000
three_step,90080,104.3951,1.0000
q_learner,90080,106.5770,1.0000
q_learner_fine,90080,101.3606,1.0000
clairvoyant,90080,67.2763,1.0000
twap,90081,118.6274,1.0000
lookahead,90081,110.6581,1.0000
two_step,90081,134.0358,1.0000
three_step,90081,131.8931,1.0000
q_learner,90081,122.2825,1.0000
q_learner_fine,90081,108.0201,1.0000
clairvoyant,90081,96.2783,1.0000
twap,90082,125.5778,1.0000
lookahead,90082,106.2753,1.0000
two_step,90082,105.1793,1.0000
three_step,90082,104.2811,1.0000
q_learner,90082,139.6499,1.0000
q_learner_fine,90082,106.0299,1.0000
clairvoyant,90082,73.8003,1.0000
twap,90083,109.2727,1.0000
lookahead,90083,101.5802,1.0000
two_step,90083,95.5643,1.0000
three_step,90083,100.0364,1.0000
q_learner,90083,103.6576,1.0000
q_learner_fine,90083,100.3593,1.0000
clairvoyant,90083,95.8401,1.0000
twap,90084,132.2855,1.0000
lookahead,90084,148.8300,1.0000
two_step,90084,165.3886,1.0000
three_step,90084,150.7078,1.0000
q_learner,90084,129.7936,1.0000
q_learner_fine,90084,127.3001,1.0000
clairvoyant,90084,132.1120,1.0000
twap,90085,108.8375,1.0000
lookahead,90085,57.1328,1.0000
two_step,90085,71.3594,1.0000
three_step,90085,64.0303,1.0000
q_learner,90085,102.2207,1.0000
q_learner_fine,90085,87.9688,1.0000
clairvoyant,90085,26.7215,1.0000
twap,90086,133.2569,1.0000
lookahead,90086,124.8928,1.0000
two_step,90086,149.4098,1.0000
three_step,90086,145.2897,1.0000
q_learner,90086,130.3627,1.0000
q_learner_fine,90086,122.0042,1.0000
clairvoyant,90086,105.8275,1.0000
twap,90087,101.8459,1.0000
lookahead,90087,62.2181,1.0000
two_step,90087,83.0545,1.0000
three_step,90087,60.9937,1.0000
q_learner,90087,101.9804,1.0000
q_learner_fine,90087,86.0392,1.0000
clairvoyant,90087,50.8082,1.0000
twap,90088,118.1659,1.0000
lookahead,90088,131.8543,1.0000
two_step,90088,135.0691,1.0000
three_step,90088,149.5432,1.0000
q_learner,90088,122.3586,1.0000
q_learner_fine,90088,112.4129,1.0000
clairvoyant,90088,116.3280,1.0000
twap,90089,103.7437,1.0000
lookahead,90089,73.6007,1.0000
two_step,90089,94.5047,1.0000
three_step,90089,80.6639,1.0000
q_learner,90089,99.4132,1.0000
q_learner_fine,90089,84.6141,1.0000
clairvoyant,90089,59.9061,1.0000
twap,90090,111.5899,1.0000
lookahead,90090,122.7423,1.0000
two_step,90090,136.7312,1.0000
three_step,90090,133.0565,1.0000
q_learner,90090,112.6066,1.0000
q_learner_fine,90090,102.4589,1.0000
clairvoyant,90090,80.1684,1.0000
twap,90091,120.0438,1.0000
lookahead,90091,115.1382,1.0000
two_step,90091,134.9702,1.0000
three_step,90091,120.7591,1.0000
q_learner,90091,113.1350,1.0000
q_learner_fine,90091,113.0017,1.0000
clairvoyant,90091,110.7887,1.0000
twap,90092,110.5006,1.0000
lookahead,90092,140.5511,1.0000
two_step,90092,147.2626,1.0000
three_step,90092,141.1493,1.0000
q_learner,90092,107.8896,1.0000
q_learner_fine,90092,96.5229,1.0000
clairvoyant,90092,84.2448,1.0000
twap,90093,95.5385,1.0000
lookahead,90093,80.0429,1.0000
two_step,90093,112.9871,1.0000
three_step,90093,62.6931,1.0000
q_learner,90093,95.1129,1.0000
q_learner_fine,90093,90.6478,1.0000
clairvoyant,90093,64.6154,1.0000
twap,90094,113.6007,1.0000
lookahead,90094,101.8853,1.0000
two_step,90094,106.5017,1.0000
three_step,90094,104.6903,1.0000
q_learner,90094,121.0895,1.0000
q_learner_fine,90094,102.9700,1.0000
clairvoyant,90094,85.5399,1.0000
twap,90095,97.1636,1.0000
lookahead,90095,73.8835,1.0000
two_step,90095,86.3132,1.0000
three_step,90095,82.5138,1.0000
q_learner,90095,92.7203,1.0000
q_learner_fine,90095,88.1696,1.0000
clairvoyant,90095,57.6026,1.0000
twap,90096,96.0751,1.0000
lookahead,90096,66.1206,1.0000
two_step,90096,72.6565,1.0000
three_step,90096,58.0937,1.0000
q_learner,90096,91.5807,1.0000
q_learner_fine,90096,81.9477,1.0000
clairvoyant,90096,35.4957,1.0000
twap,90097,107.7571,1.0000
lookahead,90097,99.1407,1.0000
