policy,seed_set,arb_profit_x,arb_trade_count,avg_fee_a,avg_fee_b,avg_oracle_gap_a_bps,avg_oracle_gap_b_bps,avg_slippage_bps,completion_rate,drift_bps,fee_paid_bps,fees_paid_x,filled_qty,forced_terminal_cost_bps,gas_paid_bps,gas_paid_x,mean_post_trade_gap_bps,mode,n_steps,route_concentration,route_share_a,route_share_b,seed,shortfall_bps,slippage_ex_fee_bps,terminal_penalty_bps,total_reward,wait_share
rl,test,77.46858655117467,18,0.004727256326347162,0.004559654187142775,34.35732538343498,31.05462962483105,94.61579250241304,0.9779351924624221,-70.96310365235823,39.741475397676965,198.70737698838485,48.896759623121106,0.0,7.6000000000000005,38.0,78.6631815751649,DynamicDuopoly,50,0.5027898694953724,0.46265117474824513,0.537348825251755,30010,33.57797110598743,52.786637853154936,4.412961507515625,-0.003357797110598928,0.68
rl,test,55.889991111523614,13,0.003580963448080733,0.0036493350532404594,11.568408555845213,12.915716760425298,72.14739496775452,0.9031448777500001,32.020028118887936,27.194156358282907,135.97078179141454,45.1572438875,0.0,5.199999999999999,26.0,79.87587544221493,DynamicDuopoly,50,0.5436274774177053,0.35230525158675186,0.6476947484132481,30011,121.75060277702232,37.96539384985071,19.37102445,-0.012175060277702158,0.78
rl,test,63.60723995814942,12,0.004106492338475418,0.004170792793976361,22.026482881030198,23.293353021885387,69.59340767742619,0.985053221875,15.800301884341156,29.998787909636317,149.99393954818157,49.25266109375,0.0,6.800000000000001,34.0,77.5660678930357,DynamicDuopoly,50,0.5342478743651228,0.3691415375966789,0.6308584624033211,30012,94.1428679632506,38.55442254427271,2.9893556250000004,-0.009414286796325014,0.76
rl,test,134.54488454764396,13,0.00456960676779626,0.004600156742030972,31.23943005597951,31.841481212386835,104.40603563030332,0.94619159875,-14.90996270017401,36.818682665128385,184.0934133256419,47.309579937500004,0.0,5.6,28.0,103.67631523797387,DynamicDuopoly,50,0.5002090358068797,0.5102233997984966,0.48977660020150326,30013,100.23983132200875,61.96943110705779,10.761680249999998,-0.01002398313220122,0.78
rl,test,123.77464304319892,14,0.004567611979186641,0.004496799245538057,31.189794602172032,29.79430770053908,107.05520341692268,0.9564151949875,6.654835285286022,40.118139204209314,200.5906960210466,47.820759749375,0.0,6.4,32.0,99.98788354944557,DynamicDuopoly,50,0.5002022029029608,0.48994507824593303,0.510054921754067,30014,124.16101953820645,62.27108404621326,8.7169610025,-0.012416101953820893,0.74
rl,test,125.59218742687062,16,0.003949620708833764,0.004162646424100292,18.91889424725374,23.116855489722283,92.18753266497347,0.973095799375,2.9683171988100314,35.928805632427405,179.64402816213703,48.65478996875,0.0,6.4,32.0,84.08187519776172,DynamicDuopoly,50,0.5058921359018493,0.44572230705967125,0.5542776929403288,30015,104.45645811484245,53.77849515860389,5.380840124999999,-0.010445645811484165,0.76
rl,test,63.46592830679583,21,0.004520244533921143,0.004214313645840589,30.22429994297639,24.19558861779159,94.51438526815373,0.9920566692864717,-60.12596317937668,39.80055142233715,199.00275711168575,49.60283346432359,0.0,8.8,44.0,85.49229530576844,DynamicDuopoly,50,0.5055615768467061,0.5527331814264325,0.44726681857356754,30016,44.02632921211378,53.963074826445826,1.588666142705625,-0.004402632921211212,0.64
rl,test,82.62868443188518,16,0.004109610771134438,0.004219358872382784,22.092900878348228,24.255562572200073,92.33638013866532,0.9757862194375001,-8.020104601950585,38.043926891795536,190.21963445897768,48.789310971875004,0.0,6.800000000000001,34.0,87.77647699032045,DynamicDuopoly,50,0.5000897219985473,0.49330216458296827,0.5066978354170317,30017,93.72321880260083,52.05664040025656,4.8427561125,-0.009372321880260125,0.74
rl,test,110.64580243884438,20,0.004600463646417913,0.004599840889579706,31.850272425870116,31.8382238274945,99.70474998988384,0.9852901283082811,-65.76192633523867,40.27336041706658,201.3668020853329,49.264506415414054,0.0,7.6000000000000005,38.0,87.31209157815908,DynamicDuopoly,50,0.5180041267283924,0.4051207959340081,0.5948792040659919,30018,43.01815391358428,57.96474549341115,2.9419743383437496,-0.004301815391358298,0.68
rl,test,126.92671185551899,12,0.004280233149358151,0.004305177913679612,25.48026201637331,25.97159811663307,89.82632527639139,0.9757862194375001,14.826331353242626,33.90916572763917,169.54582863819587,48.789310971875004,0.0,6.800000000000001,34.0,90.66607845398978,DynamicDuopoly,50,0.5028000749023914,0.4625829256729542,0.5374170743270459,30019,114.12037781315398,53.742124619773925,4.8427561125,-0.01141203778131552,0.74
rl,test,58.13646816166374,13,0.004340171967727108,0.004127788927135853,26.6497378277218,22.464733029877575,79.04297800056153,0.9878931097187501,33.24787720123042,31.45047753136264,157.2523876568132,49.394655485937506,0.0,7.2,36.0,88.23955987256412,DynamicDuopoly,50,0.5190044167385676,0.4025207285148076,0.5974792714851923,30020,120.95526859588473,46.635535807042835,2.42137805625,-0.012095526859588592,0.72
rl,test,100.2473824555641,17,0.004694781814305107,0.004751341947910658,33.73292688402744,34.84755515274642,95.9619318177755,0.9636793291562499,-34.101504291908334,38.103876612479645,190.51938306239822,48.183966457812495,0.0,6.4,32.0,87.74505121952896,DynamicDuopoly,50,0.6303914306896435,0.2446654834441261,0.7553345165558738,30021,72.0391599555325,54.37265346621202,7.26413416875,-0.007203915995553335,0.74
rl,test,106.1479784545636,17,0.004906657082621889,0.004836851127516224,37.93716185070323,36.56148814159592,95.52472156809179,0.97820759749375,-40.8756019740793,38.838334968427944,194.19167484213972,48.9103798746875,0.0,7.2,36.0,85.59562206582946,DynamicDuopoly,50,0.5561194771282996,0.33248958669936424,0.6675104133006358,30022,64.12588691355282,54.60467341795454,4.35848050125,-0.006412588691355327,0.72
rl,test,110.90299444741595,13,0.004205699349432129,0.004331918467382587,24.0066490720709,26.494175585735206,96.54969966886442,0.9757862194375001,2.2378388831493026,34.86045274859769,174.30226374298843,48.789310971875004,0.0,6.800000000000001,34.0,91.4452525568983,DynamicDuopoly,50,0.5492640368971368,0.34305409069182996,0.6569459093081701,30023,108.09246142335564,59.35141367910958,4.8427561125,-0.010809246142335638,0.74
rl,test,110.78954281101278,15,0.004758686274191395,0.004750646159213188,34.998302065144706,34.84017662936072,102.89287855474396,0.9673113962406251,-27.909745488894735,37.98085729329664,189.9042864664832,48.365569812031254,0.0,6.800000000000001,34.0,104.17480051295213,DynamicDuopoly,50,0.500209567191534,0.5102363858742721,0.4897636141257279,30024,84.95742928098537,61.548596724709796,6.537720751875,-0.008495742928098645,0.72
rl,test,167.8534777691334,12,0.004153573844774053,0.0042048059503259185,22.962022319660765,23.97165156079483,102.75306035084665,0.94619159875,29.68498572656779,37.02221749333571,185.11108746667855,47.309579937500004,0.0,5.6,28.0,105.2650587108977,DynamicDuopoly,50,0.5002090358068797,0.5102233997984966,0.48977660020150326,30025,143.2707484263904,60.201864956487135,10.761680249999998,-0.014327074842639098,0.78
rl,test,93.52751044773322,12,0.004192508874326224,0.004306207215786549,23.74300344136424,25.98352651918728,82.28737907319132,0.9757862194375001,27.79349180700643,29.211214899856007,146.05607449928004,48.789310971875004,0.0,6.800000000000001,34.0,82.73195233930917,DynamicDuopoly,50,0.5149415484925475,0.4135663592906457,0.5864336407093543,30026,119.73113845275607,51.083675633393796,4.8427561125,-0.0119731138452756,0.74
