extension,regime,policy,seed,shortfall_bps,completion_rate,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,forced_terminal_cost_bps,route_share_A,route_share_B,wait_share,avg_depth_factor,min_depth_factor,jit_event_count
lp,frozen,lookahead,95456,111.9161,1.000000,38.1782,9.6000,51.5321,12.6058,0.8057,0.6299,0.3701,0.5800,1.0000,1.0000,0
lp,frozen,twap,95456,115.2568,1.000000,41.4497,20.8000,48.5735,4.4336,0.8096,0.5662,0.4338,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95457,68.1984,1.000000,37.1862,9.2000,56.6935,-34.8812,0.8014,0.6018,0.3982,0.6200,1.0000,1.0000,0
lp,frozen,twap,95457,96.3622,1.000000,40.7944,20.8000,47.3932,-12.6254,0.8160,0.5479,0.4521,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95458,110.8322,1.000000,34.7777,9.6000,44.8762,21.5782,0.8231,0.5842,0.4158,0.5800,1.0000,1.0000,0
lp,frozen,twap,95458,122.8904,1.000000,40.4127,20.8000,46.4949,15.1829,0.8217,0.4963,0.5037,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95459,70.1288,1.000000,36.4691,10.4000,45.9258,-22.6660,0.8052,0.7181,0.2819,0.5600,1.0000,1.0000,0
lp,frozen,twap,95459,102.9352,1.000000,41.5860,20.8000,48.9171,-8.3679,0.8112,0.5171,0.4829,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95460,134.3661,1.000000,37.7435,10.0000,50.0069,36.6157,0.8218,0.5297,0.4703,0.5800,1.0000,1.0000,0
lp,frozen,twap,95460,130.6764,1.000000,42.7821,20.8000,51.1170,15.9774,0.8327,0.6489,0.3511,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95461,78.6639,1.000000,39.7255,9.2000,56.7528,-27.0144,0.8102,0.5090,0.4910,0.6000,1.0000,1.0000,0
lp,frozen,twap,95461,103.0524,1.000000,44.5231,20.8000,54.6285,-16.8992,0.8232,0.4848,0.5152,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95462,119.7608,1.000000,37.7577,9.2000,53.8920,18.9110,0.8175,0.5234,0.4766,0.6000,1.0000,1.0000,0
lp,frozen,twap,95462,124.9417,1.000000,41.3197,20.8000,48.2763,14.5457,0.8338,0.5414,0.4586,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95463,78.3887,1.000000,35.8313,10.0000,45.1199,-12.5625,0.8081,0.4851,0.5149,0.5600,1.0000,1.0000,0
lp,frozen,twap,95463,105.8941,1.000000,41.4377,20.8000,48.6014,-4.9451,0.8126,0.4661,0.5339,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95464,84.9964,1.000000,40.0511,9.6000,56.0654,-20.7201,0.8021,0.5285,0.4715,0.5800,1.0000,1.0000,0
