pool,treated,tier,class,fr12_usd,fr4_usd,sw12,old,covered
0x11950d141ecb863f01007add7d1a342041227b58,1,3000,weth-pair,15972.22,2445.26,17194,1,1
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,1,3000,weth-pair,201260.1,80460.59,19409,1,1
0x755f01736f93c91585b840c2179c560b754d69f3,1,10000,weth-pair,18821.57,8588.71,7683,1,1
0x54e58c986818903d2d86dafe03f5f5e6c2ca6710,0,500,btc-pair,61137.44,1521.01,24771,1,1
0x919fa96e88d67499339577fa202345436bcdaf79,0,3000,weth-pair,48888.3,12381.93,16824,1,1
0x553e9c493678d8606d6a5ba284643db2110df823,0,100,weth-pair,15771.69,8279.7,20200,1,1
0xd6dc7e6887dd119a9dafa69cd0004e2c55b2aafc,1,3000,weth-pair,11469.25,1084.82,16999,0,1
0xf4c5e0f4590b6679b3030d29a84857f226087fef,1,3000,weth-pair,21528.43,8161.37,18093,1,1
0x813b1bce815c15774f85f8ff6b0dcbbb75a1d995,1,3000,other,80773.81,457.99,21307,0,1
0x7ff1f30f6e7eec2ff3f0d1b60739115bdf88190f,1,10000,other,0.0,0.0,18701,0,0
0x919b20ac45304aeb09c9df5c604b3cd9d99a51ca,0,100,stable-stable,32895.13,10.21,12546,0,1
0x24ee2c6b9597f035088cda8575e9d5e15a84b9df,1,3000,weth-pair,36547.96,14037.85,18433,1,1
0x4628a0a564debfc8798eb55db5c91f2200486c24,1,3000,weth-pair,65043.0,22592.63,16935,1,1
0x9e0905249ceefffb9605e034b534544684a58be6,1,3000,weth-pair,15353.74,5237.25,14442,1,1
0xdceaf5d0e5e0db9596a47c0c4120654e80b1d706,1,3000,other,103685.96,10432.33,18026,1,1
0x841820459769cd629b10a36fd12e603938cc2679,1,10000,weth-pair,418290.16,71723.77,16059,1,1
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,0,100,stable-stable,23221.88,623.28,12271,1,1
0x4637ea6ecf7e16c99e67e941ab4d7d52eac7c73d,1,3000,other,0.0,0.0,29146,0,0
0x7f74c86cd8ba48be647d541b3e7f5a2184a3afa4,1,10000,weth-pair,31503.59,6765.23,10126,1,1
0xcb488b8452996454237d824d72f86090470292f4,1,3000,weth-pair,20800.03,7624.09,15234,1,1
0x826b34e62320108a9fa38a080360d693a8a73111,1,3000,weth-pair,7753.13,2093.18,6215,1,1
0x08a5a1e2671839dadc25e2e20f9206fd33c88092,1,3000,weth-pair,206719.24,6289.45,52382,0,1
0x840deeef2f115cf50da625f7368c24af6fe74410,0,500,weth-pair,31727.14,9495.36,11434,1,1
0x075f4849d3c2088e5599cecf6ee0fdf8addfd124,0,10000,weth-pair,13853.04,0.0,2849,1,1
0xc30c8b862f7de6ba5d7eaeb113c78ec6b5ded04b,0,100,stable-stable,4577.57,1397.74,10178,0,1
0x16588709ca8f7b84829b43cc1c5cb7e84a321b16,1,3000,weth-pair,23795.76,4179.76,9749,1,1
0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,1,3000,weth-pair,61641.17,9659.66,18349,1,1
0xc85aa0aeb2458f9f35f0224f773cd90a96ce813c,1,3000,other,16202.19,4460.83,13877,0,1
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,1,3000,weth-pair,241067.78,53579.44,17383,1,1
0xf359492d26764481002ed88bd2acae83ca50b5c9,1,3000,weth-pair,51908.31,20007.82,15241,1,1
0xa19a732e51b5222a64834098c90f9c6e03ec31ed,1,10000,weth-pair,4134932.76,2370532.62,7250,0,1
0xa3c2076eb97d573cc8842f1db1ecdf7b6f77ba27,1,3000,weth-pair,27522.6,1132.14,17737,0,1
0x4633afa7c69379ba09912a42b7e59388af596081,1,3000,weth-pair,1013.33,259.09,11770,1,1
0x6c063a6e8cd45869b5eb75291e65a3de298f3aa8,0,3000,weth-pair,27953.76,10052.2,12123,1,1
0x13394005c1012e708fce1eb974f1130fdc73a5ce,0,100,stable-stable,6743.14,2915.84,10722,1,1
0x8a7e585048bda875e64024118c506b14f78166dd,1,3000,weth-pair,57169.78,46639.6,6556,0,1
