gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
0,1,2,0,0,6,0.000611,2
0,1,2,0,0,10,0.000901,5
0,1,2,0,0,20,0.000888,3
0,1,2,0,0,30,0.000387,2
0,1,2,0,1,3,0.020039,18
0,1,2,0,1,6,0.002030,1
0,1,2,0,1,10,0.000975,4
0,1,2,0,1,20,0.000116,3
0,1,2,0,1,30,0.000269,2
0,1,2,0,2,3,0.019914,17
0,1,2,0,2,6,0.004456,5
0,1,2,0,2,10,0.000545,7
0,1,2,0,2,20,0.000405,2
0,1,2,0,2,30,0.000002,2
0,1,2,0,3,3,0.005052,3
0,1,2,0,3,6,0.022424,26
0,1,2,0,3,10,0.002532,7
0,1,2,0,3,20,0.000617,1
0,1,2,0,3,30,0.000523,11
0,1,2,0,4,3,0.008721,11
0,1,2,0,4,6,0.000116,2
0,1,2,0,4,10,0.000567,3
0,1,2,0,4,20,0.000058,2
0,1,2,0,4,30,-0.000000,1
0,1,2,1,0,3,0.041105,1852
0,1,2,1,0,6,0.040605,524
0,1,2,1,0,10,0.039920,449
0,1,2,1,0,20,0.040128,442
0,1,2,1,0,30,0.039495,425
0,1,2,1,1,3,0.041115,1660
0,1,2,1,1,6,0.040071,528
0,1,2,1,1,10,0.039155,488
0,1,2,1,1,20,0.039427,501
0,1,2,1,1,30,0.039323,480
0,1,2,1,2,3,0.041116,1795
0,1,2,1,2,6,0.040252,702
0,1,2,1,2,10,0.039605,616
0,1,2,1,2,20,0.039889,674
0,1,2,1,2,30,0.039622,650
0,1,2,1,3,3,0.039809,1333
0,1,2,1,3,6,0.041080,1003
0,1,2,1,3,10,0.039804,635
0,1,2,1,3,20,0.039096,653
0,1,2,1,3,30,0.039359,618
0,1,2,1,4,3,0.041018,1169
0,1,2,1,4,6,0.038963,573
0,1,2,1,4,10,0.038599,481
0,1,2,1,4,20,0.038448,523
0,1,2,1,4,30,0.038579,519
0,1,2,2,0,3,0.041198,167706
0,1,2,2,0,6,0.041091,22467
