scenario,policy,seed,delta_hedged_pnl,delta_fee_revenue,delta_lvr,delta_volume,delta_normal_hedged_pnl,delta_toxic_hedged_pnl
campbell_rl_normal,tabular_rl,5473,0.0617,0.0583,-0.0034,323.4216,0.0617,0.0000
campbell_rl_normal,tabular_rl,5474,0.0656,0.0678,0.0022,306.1776,0.0656,0.0000
campbell_rl_normal,tabular_rl,5475,0.0589,0.0753,0.0164,271.9897,0.0589,0.0000
campbell_rl_normal,tabular_rl,5476,0.0586,0.0541,-0.0044,311.9189,0.0586,0.0000
campbell_rl_normal,tabular_rl,5477,0.0546,0.0488,-0.0057,305.3316,0.0546,0.0000
campbell_rl_normal,tabular_rl,5478,0.0528,0.0565,0.0038,304.8520,0.0528,0.0000
campbell_rl_normal,tabular_rl,5479,0.0569,0.0647,0.0078,284.5938,0.0569,0.0000
campbell_rl_normal,tabular_rl,5480,0.0557,0.0481,-0.0077,327.4827,0.0557,0.0000
campbell_rl_normal,tabular_rl,5481,0.0533,0.0591,0.0058,293.7051,0.0533,0.0000
campbell_rl_normal,tabular_rl,5482,0.0579,0.0522,-0.0057,329.7487,0.0579,0.0000
campbell_rl_normal,tabular_rl,5483,0.0604,0.0536,-0.0068,324.6436,0.0604,0.0000
campbell_rl_normal,tabular_rl,5484,0.0489,0.0403,-0.0087,309.5985,0.0489,0.0000
campbell_rl_normal,tabular_rl,5485,0.0493,0.0509,0.0015,293.5528,0.0493,0.0000
campbell_rl_normal,tabular_rl,5486,0.0554,0.0634,0.0080,281.7929,0.0554,0.0000
campbell_rl_normal,tabular_rl,5487,0.0603,0.0677,0.0074,308.1565,0.0603,0.0000
campbell_rl_normal,tabular_rl,5488,0.0571,0.0572,0.0001,288.6046,0.0571,0.0000
campbell_rl_normal,tabular_rl,5489,0.0573,0.0503,-0.0071,335.6434,0.0573,0.0000
campbell_rl_normal,tabular_rl,5490,0.0590,0.0612,0.0022,306.2646,0.0590,0.0000
campbell_rl_normal,tabular_rl,5491,0.0537,0.0630,0.0094,299.8448,0.0537,0.0000
campbell_rl_normal,tabular_rl,5492,0.0576,0.0553,-0.0023,285.8005,0.0576,0.0000
campbell_rl_normal,tabular_rl,5493,0.0612,0.0558,-0.0054,318.2556,0.0612,0.0000
campbell_rl_normal,tabular_rl,5494,0.0547,0.0610,0.0063,304.3445,0.0547,0.0000
campbell_rl_normal,tabular_rl,5495,0.0548,0.0490,-0.0058,306.4724,0.0548,0.0000
campbell_rl_normal,tabular_rl,5496,0.0676,0.0734,0.0058,284.3523,0.0676,0.0000
campbell_rl_normal,tabular_rl,5497,0.0636,0.0608,-0.0029,280.4438,0.0636,0.0000
campbell_rl_normal,tabular_rl,5498,0.0643,0.0695,0.0051,314.5819,0.0643,0.0000
campbell_rl_normal,tabular_rl,5499,0.0568,0.0465,-0.0103,303.1908,0.0568,0.0000
