elasticity,lambda,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,mean_retention,fund_demand_lost,final_external_price
E1_none,0,oracle_gap,5361,6.8741,0.6443,6.0011,9.9686,0.4428,0.8356,0.0246,0.8110,0.3928,1126.9108,28.2580,1155.1689,1440,144,0.782577,0.196236,1.000000,0.0000,1.051211
E1_none,0,oracle_gap,5362,6.8933,0.6634,6.0006,9.7392,0.4236,0.8355,0.0277,0.8078,0.4120,1132.8474,31.9075,1164.7549,1440,145,0.786700,0.220052,1.000000,0.0000,1.013498
E1_none,0,oracle_gap,5363,6.8828,0.6421,6.0002,9.4629,0.4299,0.8230,0.0254,0.7976,0.3930,1131.9511,29.9144,1161.8655,1440,151,0.786077,0.198108,1.000000,0.0000,1.010033
E1_none,0,oracle_gap,5364,6.8482,0.6670,6.0002,10.2385,0.4177,0.7934,0.0275,0.7659,0.3757,1130.2924,32.9303,1163.2227,1440,146,0.784925,0.225550,1.000000,0.0000,0.943132
E1_none,0,oracle_gap,5365,6.8396,0.6312,6.0001,10.1658,0.4372,0.7928,0.0211,0.7718,0.3557,1131.6141,25.2985,1156.9126,1440,125,0.785843,0.202388,1.000000,0.0000,0.957995
E1_none,0,oracle_gap,5366,6.8602,0.6546,6.0001,9.3240,0.4413,0.8323,0.0263,0.8060,0.3910,1107.4600,29.8218,1137.2818,1440,144,0.769069,0.207096,1.000000,0.0000,1.044697
E1_none,0,oracle_gap,5367,6.8822,0.6788,6.0002,10.4627,0.4260,0.8411,0.0309,0.8101,0.4151,1120.5379,35.0058,1155.5437,1440,169,0.778151,0.207135,1.000000,0.0000,1.061852
E1_none,0,oracle_gap,5368,6.8972,0.6676,6.0001,9.9151,0.4238,0.8418,0.0283,0.8135,0.4179,1134.0068,32.2399,1166.2467,1440,163,0.787505,0.197791,1.000000,0.0000,1.048184
E1_none,0,oracle_gap,5369,6.8808,0.6651,6.0030,9.5680,0.4301,0.8353,0.0280,0.8073,0.4051,1130.4151,32.4400,1162.8550,1440,158,0.785010,0.205316,1.000000,0.0000,1.028079
E1_none,0,oracle_gap,5370,6.9031,0.6797,6.0000,9.9156,0.4104,0.8335,0.0317,0.8018,0.4231,1139.9993,37.0770,1177.0763,1440,165,0.791666,0.224709,1.000000,0.0000,0.961136
E1_none,0,oracle_gap,5371,6.8558,0.6621,6.0013,10.5407,0.4255,0.8105,0.0274,0.7831,0.3850,1114.4645,31.4060,1145.8705,1440,141,0.773934,0.222738,1.000000,0.0000,1.003544
E1_none,0,oracle_gap,5372,6.8698,0.6651,6.0001,10.3328,0.4220,0.8159,0.0287,0.7873,0.3939,1126.4303,33.4305,1159.8608,1440,149,0.782243,0.224366,1.000000,0.0000,0.984178
E1_none,0,oracle_gap,5373,6.8748,0.6682,6.0026,9.9400,0.4180,0.8159,0.0287,0.7872,0.3979,1129.2309,33.5639,1162.7948,1440,152,0.784188,0.220815,1.000000,0.0000,0.978529
