policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,lp_vs_hold_pct,fee_revenues,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price
fixed_6bps,5096,6.0000,0.4159,-0.2457,-0.0123,0.7993,0.3834,1336.7213,225,1440,0.968893,0.968505
fixed_6bps,5097,6.0000,0.4107,-0.0403,-0.0020,0.8107,0.3999,1344.1500,208,1440,1.012744,1.012338
fixed_6bps,5098,6.0000,0.4049,-0.0517,-0.0026,0.8164,0.4114,1339.3279,229,1440,1.014440,1.014034
fixed_6bps,5099,6.0000,0.3811,-0.4898,-0.0245,0.8024,0.4214,1372.2780,241,1440,0.956223,0.955841
fixed_6bps,5100,6.0000,0.4247,-0.0586,-0.0029,0.8124,0.3877,1328.5951,223,1440,0.984744,0.984350
fixed_6bps,5101,6.0000,0.3897,-0.0372,-0.0019,0.8137,0.4241,1351.8673,244,1440,0.987833,0.987437
fixed_6bps,5102,6.0000,0.3915,-0.5888,-0.0294,0.8321,0.4406,1363.9928,241,1440,1.049120,1.048700
fixed_6bps,5103,6.0000,0.4067,-0.0428,-0.0021,0.8022,0.3955,1360.2771,232,1440,0.986958,0.986563
fixed_6bps,5104,6.0000,0.4064,-0.4361,-0.0218,0.8382,0.4317,1338.2901,234,1440,1.042206,1.041789
fixed_6bps,5105,6.0000,0.4079,-0.2672,-0.0134,0.8166,0.4087,1356.2849,219,1440,1.032965,1.032552
fixed_6bps,5106,6.0000,0.4274,-0.0001,-0.0000,0.8111,0.3836,1337.9039,215,1440,1.000608,1.000208
fixed_6bps,5107,6.0000,0.4054,-0.7488,-0.0374,0.7881,0.3828,1360.5475,224,1440,0.946020,0.945642
fixed_6bps,5108,6.0000,0.3923,-0.0688,-0.0034,0.8148,0.4225,1363.7751,238,1440,1.016659,1.016252
fixed_6bps,5109,6.0000,0.4047,-1.2694,-0.0635,0.8351,0.4304,1343.5703,252,1440,1.072528,1.072099
fixed_6bps,5110,6.0000,0.4004,-0.0789,-0.0039,0.8147,0.4143,1366.9540,239,1440,1.017848,1.017441
fixed_6bps,5111,6.0000,0.4118,-0.8956,-0.0448,0.8299,0.4181,1339.3247,238,1440,1.060751,1.060327
fixed_6bps,5112,6.0000,0.4283,-0.3772,-0.0189,0.8034,0.3751,1338.8795,212,1440,1.039222,1.038806
fixed_6bps,5113,6.0000,0.4271,-0.0247,-0.0012,0.8208,0.3937,1346.2750,216,1440,1.009970,1.009566
fixed_6bps,5114,6.0000,0.4184,-0.0570,-0.0028,0.8064,0.3880,1334.6282,220,1440,0.984953,0.984559
fixed_6bps,5115,6.0000,0.4108,-1.3447,-0.0672,0.8264,0.4156,1342.1767,238,1440,1.074685,1.074255
fixed_6bps,5116,6.0000,0.4102,-0.3293,-0.0165,0.7972,0.3869,1354.1561,213,1440,0.964035,0.963649
fixed_6bps,5117,6.0000,0.3902,-0.0038,-0.0002,0.8294,0.4392,1368.1479,256,1440,1.003943,1.003541
fixed_6bps,5118,6.0000,0.4116,-0.1591,-0.0080,0.8001,0.3885,1346.6044,218,1440,0.974926,0.974535
fixed_6bps,5119,6.0000,0.4145,-0.5089,-0.0254,0.8217,0.4073,1348.8262,239,1440,1.045628,1.045210
fixed_6bps,5120,6.0000,0.4106,-0.1722,-0.0086,0.8162,0.4057,1350.8890,225,1440,1.026422,1.026011
fixed_6bps,5121,6.0000,0.3994,-0.0547,-0.0027,0.8076,0.4082,1346.2537,233,1440,0.985251,0.984857
fixed_6bps,5122,6.0000,0.4209,-0.0556,-0.0028,0.8024,0.3814,1358.3511,232,1440,1.014980,1.014573
fixed_6bps,5123,6.0000,0.4222,-1.0493,-0.0525,0.8327,0.4105,1341.4899,207,1440,1.065837,1.065410
fixed_6bps,5124,6.0000,0.4196,-0.1513,-0.0076,0.8131,0.3935,1345.2897,214,1440,1.024755,1.024345
fixed_6bps,5125,6.0000,0.4126,-2.6567,-0.1328,0.8376,0.4250,1335.8753,224,1440,1.105745,1.105302
fixed_6bps,5126,6.0000,0.3942,-0.3914,-0.0196,0.7982,0.4040,1350.9953,234,1440,0.960821,0.960436
fixed_6bps,5127,6.0000,0.4306,-0.0009,-0.0000,0.8112,0.3806,1325.1273,208,1440,0.998050,0.997650
fixed_6bps,5128,6.0000,0.4186,-0.1607,-0.0080,0.7816,0.3630,1329.0839,211,1440,0.974808,0.974418
fixed_6bps,5129,6.0000,0.4008,-1.0254,-0.0513,0.7803,0.3795,1351.0636,218,1440,0.936980,0.936605
fixed_6bps,5130,6.0000,0.4051,-0.0757,-0.0038,0.8026,0.3975,1344.7392,240,1440,0.982667,0.982274
fixed_6bps,5131,6.0000,0.4071,-1.1109,-0.0555,0.7931,0.3859,1354.2737,238,1440,0.934450,0.934076
fixed_6bps,5132,6.0000,0.3942,-0.2224,-0.0111,0.8225,0.4284,1371.4797,237,1440,1.030052,1.029640
fixed_6bps,5133,6.0000,0.4197,-0.0784,-0.0039,0.8115,0.3919,1340.9084,211,1440,0.982368,0.981975
fixed_6bps,5134,6.0000,0.4253,-1.6534,-0.0827,0.7758,0.3505,1356.0215,190,1440,0.920329,0.919961
fixed_6bps,5135,6.0000,0.4047,-0.0345,-0.0017,0.8091,0.4044,1355.5397,244,1440,1.011788,1.011383
fixed_6bps,5136,6.0000,0.4151,-0.0039,-0.0002,0.8101,0.3950,1349.5630,219,1440,1.003998,1.003596
fixed_6bps,5137,6.0000,0.4192,-0.0003,-0.0000,0.8134,0.3942,1342.1530,226,1440,0.998920,0.998520
fixed_6bps,5138,6.0000,0.4063,-0.0053,-0.0003,0.8123,0.4060,1361.4377,226,1440,1.004641,1.004239
fixed_6bps,5139,6.0000,0.4190,-0.4801,-0.0240,0.7867,0.3677,1343.6079,211,1440,0.956657,0.956274
fixed_6bps,5140,6.0000,0.4183,-0.5013,-0.0251,0.7805,0.3622,1337.1074,198,1440,0.955722,0.955339
fixed_6bps,5141,6.0000,0.4156,-0.0477,-0.0024,0.8045,0.3888,1339.5681,225,1440,1.013869,1.013463
fixed_6bps,5142,6.0000,0.4206,-1.3728,-0.0686,0.8358,0.4152,1349.1449,228,1440,1.075476,1.075045
fixed_6bps,5143,6.0000,0.4145,-0.0089,-0.0004,0.7948,0.3803,1344.4027,220,1440,1.005973,1.005571
fixed_6bps,5144,6.0000,0.3980,-0.0127,-0.0006,0.8131,0.4151,1355.7571,243,1440,1.007153,1.006750
fixed_6bps,5145,6.0000,0.4167,-0.1991,-0.0100,0.8280,0.4113,1337.1390,224,1440,1.028422,1.028010
fixed_6bps,5146,6.0000,0.4158,-0.1532,-0.0077,0.8050,0.3892,1345.3341,221,1440,0.975398,0.975008
fixed_6bps,5147,6.0000,0.4221,-0.0465,-0.0023,0.7966,0.3745,1347.2767,216,1440,0.986399,0.986004
fixed_6bps,5148,6.0000,0.4042,-0.6290,-0.0315,0.7994,0.3952,1356.4337,221,1440,0.950467,0.950086
fixed_6bps,5149,6.0000,0.3909,-2.1736,-0.1087,0.7787,0.3878,1370.0853,221,1440,0.908929,0.908565
fixed_6bps,5150,6.0000,0.3955,-0.0069,-0.0003,0.8089,0.4134,1372.0263,238,1440,0.994745,0.994346
fixed_6bps,5151,6.0000,0.4093,-1.9990,-0.1000,0.7854,0.3761,1335.4563,216,1440,0.912577,0.912212
fixed_6bps,5152,6.0000,0.4188,-0.0018,-0.0001,0.8013,0.3824,1338.8215,230,1440,1.002689,1.002287
fixed_6bps,5153,6.0000,0.3940,-0.6124,-0.0306,0.8401,0.4461,1345.6279,256,1440,1.050109,1.049689
fixed_6bps,5154,6.0000,0.4075,-0.0365,-0.0018,0.8143,0.4068,1354.8901,219,1440,0.987941,0.987546
fixed_6bps,5155,6.0000,0.4314,-0.0108,-0.0005,0.8054,0.3740,1322.3814,197,1440,1.006596,1.006193
