gap_bucket,vol_bucket,flow_bucket,action_fee_bps,value_estimate,visit_count
4,0,0,100,0.374132,132
4,0,2,1,0.335906,2603
4,0,2,3,0.547732,3217
4,0,2,6,0.535552,3299
4,0,2,10,0.277397,2799
4,0,2,20,0.413307,3453
4,0,2,30,0.541387,2861
4,0,2,50,-0.010647,3287
4,0,2,100,-0.188469,3384
4,0,3,1,-0.622429,110
4,0,3,3,0.898678,120
4,0,3,6,-0.094922,123
4,0,3,10,-0.144485,191
4,0,3,20,-0.154918,108
4,0,3,30,-0.211198,104
4,0,3,50,0.252774,86
4,0,3,100,-0.855966,147
4,1,0,1,-0.609426,559
4,1,0,3,-0.540200,725
4,1,0,6,-0.891360,589
4,1,0,10,-0.167729,1068
4,1,0,20,-0.525964,600
4,1,0,30,-0.677129,645
4,1,0,50,-0.827928,1598
4,1,0,100,-0.592392,1770
4,1,2,1,-0.124553,72207
4,1,2,3,0.212378,84487
4,1,2,6,0.039470,93328
4,1,2,10,0.208650,111181
4,1,2,20,0.163553,185486
4,1,2,30,0.345432,243187
4,1,2,50,-0.077853,106236
4,1,2,100,-0.205412,114936
4,1,3,1,-1.064870,7604
4,1,3,3,-0.048421,9027
4,1,3,6,-0.381116,9725
4,1,3,10,-0.189887,9829
4,1,3,20,-0.560402,10089
4,1,3,30,-0.561489,8558
4,1,3,50,-1.536471,11742
4,1,3,100,-0.518279,10472
4,2,0,1,0.145564,2
4,2,0,3,0.007513,1
4,2,0,6,0.000000,0
4,2,0,10,-0.084988,1
4,2,0,20,0.547124,7
4,2,0,30,0.130035,1
4,2,0,50,0.000000,0
4,2,0,100,0.000000,0
4,2,2,1,0.744860,130
4,2,2,3,0.706272,93
4,2,2,6,1.742767,161
4,2,2,10,0.510014,19
4,2,2,20,0.993550,86
4,2,2,30,0.941753,22
4,2,2,50,0.794954,53
4,2,2,100,0.779575,18
4,2,3,1,0.241663,57
4,2,3,3,0.241715,6
4,2,3,6,0.192477,13
4,2,3,10,0.204032,9
4,2,3,20,0.239093,8
4,2,3,30,1.129394,88
4,2,3,50,0.295680,10
4,2,3,100,0.213214,12
5,0,0,1,0.000000,0
5,0,0,3,0.000000,0
5,0,0,6,0.000000,0
5,0,0,10,0.000000,0
5,0,0,20,0.138824,4
5,0,0,30,0.000000,0
5,0,0,50,0.000000,0
5,0,0,100,0.647203,8
5,0,2,1,0.511005,7
5,0,2,3,0.745595,7
5,0,2,6,0.546092,7
5,0,2,10,0.322239,5
5,0,2,20,-0.012864,6
5,0,2,30,0.381048,6
5,0,2,50,1.242488,155
5,0,2,100,0.270654,2
5,0,3,1,0.000000,0
5,0,3,3,0.000000,0
5,0,3,6,0.009427,2
5,0,3,10,0.000000,0
5,0,3,20,0.000000,0
5,0,3,30,-0.023624,1
5,0,3,50,0.044365,1
5,0,3,100,1.116555,17
5,1,0,1,-0.571732,23
5,1,0,3,-1.388669,67
5,1,0,6,-1.339127,70
5,1,0,10,-1.541638,47
5,1,0,20,-0.994151,66
5,1,0,30,-0.783137,57
5,1,0,50,0.444781,138
5,1,0,100,-0.799470,48
5,1,2,1,-0.244619,909
5,1,2,3,-0.497767,964
5,1,2,6,-0.122366,1104
5,1,2,10,-0.815962,1648
5,1,2,20,-0.173756,2391
5,1,2,30,-0.105999,2227
5,1,2,50,-0.197099,2559
5,1,2,100,0.019916,1519
5,1,3,1,-0.687529,95
5,1,3,3,-0.145135,101
5,1,3,6,0.220927,138
5,1,3,10,-0.355500,273
5,1,3,20,-0.960489,132
5,1,3,30,-0.895321,121
5,1,3,50,-1.032984,233
5,1,3,100,-0.448320,214
5,2,2,1,0.598670,6
5,2,2,3,0.000000,0
5,2,2,6,0.021027,1
5,2,2,10,0.000000,0
5,2,2,20,-0.058712,1
5,2,2,30,0.020259,1
5,2,2,50,0.000000,0
5,2,2,100,0.064179,1
5,2,3,1,0.000000,0
5,2,3,3,0.000000,0
5,2,3,6,-0.039682,1
5,2,3,10,0.000000,0
5,2,3,20,0.000000,0
5,2,3,30,0.000000,0
5,2,3,50,0.000000,0
5,2,3,100,0.000000,0
