scenario,policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,fee_revenue,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price,normal_hedged_pnl,toxic_hedged_pnl,normal_steps,toxic_steps
campbell_rl_normal,tabular_rl,5300,6.3812,0.4869,-0.0025,0.8662,0.3793,1459.5928,149,1437,0.996756,0.996058,0.4869,0.0000,1440,0
campbell_rl_normal,tabular_rl,5301,6.5847,0.5040,-1.6098,0.9141,0.4101,1421.7595,137,1437,1.081858,1.081100,0.5040,0.0000,1440,0
campbell_rl_normal,tabular_rl,5302,6.5396,0.4872,-0.5001,0.9030,0.4158,1456.2718,147,1437,1.045231,1.044499,0.4872,0.0000,1440,0
campbell_rl_normal,tabular_rl,5303,6.3681,0.4875,-0.5856,0.8949,0.4074,1480.0811,153,1440,1.048986,1.048566,0.4875,0.0000,1440,0
campbell_rl_normal,tabular_rl,5304,6.5028,0.4707,-0.0860,0.8803,0.4096,1482.2936,163,1439,0.981540,0.981147,0.4707,0.0000,1440,0
campbell_rl_normal,tabular_rl,5305,6.1958,0.4792,-0.4470,0.8414,0.3622,1499.2006,152,1439,0.958160,0.957776,0.4792,0.0000,1440,0
campbell_rl_normal,tabular_rl,5306,6.7799,0.4730,-0.4470,0.9214,0.4484,1444.7537,169,1433,1.042734,1.042317,0.4730,0.0000,1440,0
campbell_rl_normal,tabular_rl,5307,6.5819,0.4812,-0.0884,0.9003,0.4191,1452.5092,147,1437,1.018900,1.018492,0.4812,0.0000,1440,0
campbell_rl_normal,tabular_rl,5308,6.3924,0.4851,-0.3224,0.8640,0.3788,1457.0893,130,1440,0.964408,0.964022,0.4851,0.0000,1440,0
campbell_rl_normal,tabular_rl,5309,6.4917,0.4876,-0.6222,0.9147,0.4271,1454.0217,142,1439,1.050510,1.050089,0.4876,0.0000,1440,0
campbell_rl_normal,tabular_rl,5310,6.2917,0.4740,-0.3700,0.8502,0.3761,1517.7509,151,1438,0.961896,0.961511,0.4740,0.0000,1440,0
