scenario,policy,seed,hedged_pnl,fee_revenue,lvr,volume,arb_volume,fund_volume,avg_fee_bps
campbell_rl_normal,fixed_6bps,5404,0.419236,0.828805,0.409569,1347.802018,53.149632,1294.652385,6.0000
campbell_rl_normal,fixed_6bps,5405,0.403128,0.829612,0.426484,1345.664033,59.813074,1285.850959,6.0000
campbell_rl_normal,fixed_6bps,5406,0.415146,0.807382,0.392235,1347.490228,52.153406,1295.336822,6.0000
campbell_rl_normal,fixed_6bps,5407,0.413113,0.795219,0.382106,1337.329856,51.652769,1285.677088,6.0000
campbell_rl_normal,fixed_6bps,5408,0.413753,0.820033,0.406281,1336.948160,54.870629,1282.077530,6.0000
campbell_rl_normal,fixed_6bps,5409,0.410295,0.799486,0.389190,1351.402964,53.767360,1297.635604,6.0000
campbell_rl_normal,fixed_6bps,5410,0.402169,0.779121,0.376952,1346.287382,55.075224,1291.212158,6.0000
campbell_rl_normal,fixed_6bps,5411,0.396090,0.793691,0.397601,1354.472466,60.256507,1294.215959,6.0000
campbell_rl_normal,fixed_6bps,5412,0.420694,0.806019,0.385324,1330.740603,51.378201,1279.362402,6.0000
campbell_rl_normal,fixed_6bps,5413,0.423439,0.788164,0.364725,1322.305976,49.269005,1273.036970,6.0000
campbell_rl_normal,fixed_6bps,5414,0.416209,0.816383,0.400174,1339.541349,57.180386,1282.360963,6.0000
campbell_rl_normal,fixed_6bps,5415,0.396835,0.823250,0.426415,1361.859903,62.619929,1299.239974,6.0000
campbell_rl_normal,fixed_6bps,5416,0.393532,0.797315,0.403784,1361.717290,59.345226,1302.372064,6.0000
campbell_rl_normal,fixed_6bps,5417,0.415208,0.797361,0.382152,1341.086944,51.340055,1289.746889,6.0000
campbell_rl_normal,fixed_6bps,5418,0.413579,0.823493,0.409913,1365.802169,55.496110,1310.306059,6.0000
campbell_rl_normal,fixed_6bps,5419,0.412092,0.835424,0.423331,1362.186367,59.275011,1302.911356,6.0000
campbell_rl_normal,fixed_6bps,5420,0.405489,0.823289,0.417800,1347.157695,60.789919,1286.367777,6.0000
campbell_rl_normal,fixed_6bps,5421,0.423791,0.845270,0.421479,1339.140545,56.859906,1282.280638,6.0000
campbell_rl_normal,fixed_6bps,5422,0.391282,0.825319,0.434037,1365.959804,60.834416,1305.125388,6.0000
campbell_rl_normal,fixed_6bps,5423,0.404309,0.820120,0.415810,1347.400411,60.070578,1287.329833,6.0000
campbell_rl_normal,fixed_6bps,5424,0.397733,0.814775,0.417043,1357.258071,62.749931,1294.508140,6.0000
campbell_rl_normal,fixed_6bps,5425,0.416630,0.787910,0.371279,1333.971727,50.925421,1283.046305,6.0000
campbell_rl_normal,fixed_6bps,5426,0.424140,0.813194,0.389054,1321.424494,53.519086,1267.905408,6.0000
campbell_rl_normal,fixed_6bps,5427,0.417269,0.799744,0.382475,1352.984174,49.111446,1303.872728,6.0000
campbell_rl_normal,fixed_6bps,5428,0.412961,0.817565,0.404604,1355.580287,57.079890,1298.500397,6.0000
campbell_rl_normal,fixed_6bps,5429,0.422593,0.804013,0.381420,1323.688491,53.380856,1270.307635,6.0000
campbell_rl_normal,fixed_6bps,5430,0.403593,0.817497,0.413904,1335.143421,60.190725,1274.952696,6.0000
campbell_rl_normal,fixed_6bps,5431,0.419750,0.809586,0.389836,1330.711614,51.581438,1279.130177,6.0000
campbell_rl_normal,fixed_6bps,5432,0.393471,0.823938,0.430468,1379.499465,63.853685,1315.645780,6.0000
campbell_rl_normal,fixed_6bps,5433,0.399519,0.818124,0.418605,1356.306432,62.758653,1293.547779,6.0000
campbell_rl_normal,fixed_6bps,5434,0.403109,0.802148,0.399040,1362.136042,55.125809,1307.010233,6.0000
campbell_rl_normal,fixed_6bps,5435,0.401433,0.808317,0.406885,1346.854556,58.981422,1287.873134,6.0000
campbell_rl_normal,fixed_6bps,5436,0.408953,0.808332,0.399380,1349.166464,52.935800,1296.230664,6.0000
campbell_rl_normal,fixed_6bps,5437,0.412081,0.801482,0.389401,1343.870529,54.451370,1289.419158,6.0000
campbell_rl_normal,fixed_6bps,5438,0.407649,0.821351,0.413702,1352.614868,60.077789,1292.537080,6.0000
campbell_rl_normal,fixed_6bps,5439,0.421961,0.815814,0.393853,1344.033507,52.490038,1291.543469,6.0000
campbell_rl_normal,fixed_6bps,5440,0.417309,0.815252,0.397943,1348.428682,53.233050,1295.195632,6.0000
campbell_rl_normal,fixed_6bps,5441,0.416203,0.783808,0.367605,1341.025567,50.182905,1290.842662,6.0000
campbell_rl_normal,fixed_6bps,5442,0.414129,0.812988,0.398858,1362.692111,54.994351,1307.697760,6.0000
campbell_rl_normal,fixed_6bps,5443,0.391532,0.784818,0.393286,1359.544504,60.158620,1299.385884,6.0000
campbell_rl_normal,fixed_6bps,5444,0.413846,0.798771,0.384926,1339.567029,55.656689,1283.910340,6.0000
campbell_rl_normal,fixed_6bps,5445,0.410278,0.801649,0.391370,1342.743433,56.227522,1286.515911,6.0000
campbell_rl_normal,fixed_6bps,5446,0.391051,0.807255,0.416203,1362.008551,61.596847,1300.411704,6.0000
campbell_rl_normal,fixed_6bps,5447,0.393385,0.809259,0.415874,1368.249535,61.442407,1306.807129,6.0000
campbell_rl_normal,fixed_6bps,5448,0.402682,0.824283,0.421601,1358.700434,62.677083,1296.023351,6.0000
campbell_rl_normal,fixed_6bps,5449,0.414069,0.853297,0.439228,1335.522008,60.492264,1275.029744,6.0000
campbell_rl_normal,fixed_6bps,5450,0.409748,0.807517,0.397769,1357.321411,56.469224,1300.852187,6.0000
campbell_rl_normal,fixed_6bps,5451,0.424109,0.796185,0.372076,1328.645075,49.595559,1279.049516,6.0000
campbell_rl_normal,fixed_6bps,5452,0.404730,0.794748,0.390018,1340.279694,58.237277,1282.042417,6.0000
campbell_rl_normal,fixed_6bps,5453,0.419833,0.791433,0.371600,1333.998521,53.476515,1280.522007,6.0000
campbell_rl_normal,fixed_6bps,5454,0.394144,0.815284,0.421140,1359.779705,63.770542,1296.009164,6.0000
campbell_rl_normal,fixed_6bps,5455,0.403038,0.811776,0.408738,1347.677702,58.586447,1289.091254,6.0000
campbell_rl_normal,fixed_6bps,5456,0.395771,0.779326,0.383555,1366.663059,54.506903,1312.156155,6.0000
campbell_rl_normal,fixed_6bps,5457,0.406036,0.785737,0.379701,1362.080571,54.341222,1307.739349,6.0000
campbell_rl_normal,fixed_6bps,5458,0.403790,0.801360,0.397570,1353.808357,57.780728,1296.027630,6.0000
campbell_rl_normal,fixed_6bps,5459,0.425854,0.817674,0.391820,1358.902552,47.995336,1310.907216,6.0000
campbell_rl_normal,fixed_6bps,5460,0.413671,0.810221,0.396550,1346.115598,54.779680,1291.335918,6.0000
campbell_rl_normal,fixed_6bps,5461,0.389785,0.831733,0.441949,1379.956159,65.631079,1314.325080,6.0000
campbell_rl_normal,fixed_6bps,5462,0.404957,0.810692,0.405735,1351.312668,56.208346,1295.104321,6.0000
campbell_rl_normal,fixed_6bps,5463,0.405228,0.835682,0.430454,1348.395547,60.515944,1287.879603,6.0000
campbell_rl_normal,fixed_6bps,5464,0.413996,0.818490,0.404494,1342.934482,55.904601,1287.029881,6.0000
campbell_rl_normal,fixed_6bps,5465,0.426627,0.818154,0.391528,1338.717844,49.967454,1288.750390,6.0000
campbell_rl_normal,fixed_6bps,5466,0.401741,0.806782,0.405041,1338.784495,59.407755,1279.376740,6.0000
campbell_rl_normal,fixed_6bps,5467,0.399252,0.839045,0.439794,1348.685051,63.180866,1285.504185,6.0000
campbell_rl_normal,fixed_6bps,5468,0.402253,0.793348,0.391095,1354.003412,58.490167,1295.513245,6.0000
campbell_rl_normal,fixed_6bps,5469,0.417853,0.817017,0.399163,1331.265807,54.900995,1276.364812,6.0000
campbell_rl_normal,fixed_6bps,5470,0.420183,0.805640,0.385458,1336.339139,53.888593,1282.450547,6.0000
campbell_rl_normal,fixed_6bps,5471,0.408354,0.853513,0.445159,1343.842231,64.747854,1279.094377,6.0000
campbell_rl_normal,fixed_6bps,5472,0.391770,0.820658,0.428888,1356.817891,64.961041,1291.856850,6.0000
campbell_rl_normal,fixed_6bps,5473,0.418357,0.808096,0.389739,1321.363017,54.804407,1266.558611,6.0000
campbell_rl_normal,fixed_6bps,5474,0.396455,0.809668,0.413214,1360.384923,62.879803,1297.505120,6.0000
campbell_rl_normal,fixed_6bps,5475,0.389522,0.826941,0.437419,1351.321129,64.981978,1286.339151,6.0000
campbell_rl_normal,fixed_6bps,5476,0.404014,0.793097,0.389083,1359.912668,56.804548,1303.108120,6.0000
campbell_rl_normal,fixed_6bps,5477,0.407827,0.787498,0.379671,1343.474721,53.507524,1289.967196,6.0000
campbell_rl_normal,fixed_6bps,5478,0.419679,0.812889,0.393210,1333.612808,52.731808,1280.881000,6.0000
campbell_rl_normal,fixed_6bps,5479,0.405291,0.826642,0.421351,1347.209484,59.435221,1287.774263,6.0000
campbell_rl_normal,fixed_6bps,5480,0.414571,0.788754,0.374184,1330.109357,50.922537,1279.186820,6.0000
campbell_rl_normal,fixed_6bps,5481,0.410191,0.817213,0.407022,1353.127478,55.650084,1297.477394,6.0000
campbell_rl_normal,fixed_6bps,5482,0.426817,0.770342,0.343525,1314.113933,46.498555,1267.615378,6.0000
campbell_rl_normal,fixed_6bps,5483,0.391650,0.794856,0.403206,1357.150851,59.161204,1297.989647,6.0000
campbell_rl_normal,fixed_6bps,5484,0.425042,0.799526,0.374484,1339.466280,47.789821,1291.676459,6.0000
campbell_rl_normal,fixed_6bps,5485,0.413728,0.823541,0.409812,1367.924660,54.647727,1313.276933,6.0000
campbell_rl_normal,fixed_6bps,5486,0.409979,0.833240,0.423261,1350.341164,58.762934,1291.578231,6.0000
campbell_rl_normal,fixed_6bps,5487,0.398270,0.810463,0.412193,1358.752106,63.474868,1295.277238,6.0000
campbell_rl_normal,fixed_6bps,5488,0.397822,0.821628,0.423806,1370.005826,60.874383,1309.131443,6.0000
campbell_rl_normal,fixed_6bps,5489,0.419562,0.784551,0.364989,1337.582912,50.994605,1286.588308,6.0000
campbell_rl_normal,fixed_6bps,5490,0.422527,0.809089,0.386562,1331.675146,55.872426,1275.802721,6.0000
campbell_rl_normal,fixed_6bps,5491,0.430261,0.848374,0.418113,1335.461853,53.698044,1281.763809,6.0000
campbell_rl_normal,fixed_6bps,5492,0.406130,0.832928,0.426798,1363.458779,60.105973,1303.352806,6.0000
campbell_rl_normal,fixed_6bps,5493,0.397947,0.799023,0.401075,1356.793631,57.160431,1299.633200,6.0000
campbell_rl_normal,fixed_6bps,5494,0.411962,0.810741,0.398778,1360.082120,55.902098,1304.180022,6.0000
campbell_rl_normal,fixed_6bps,5495,0.417091,0.810624,0.393533,1351.585263,54.290009,1297.295254,6.0000
campbell_rl_normal,fixed_6bps,5496,0.403764,0.834431,0.430667,1317.391258,62.698073,1254.693185,6.0000
campbell_rl_normal,fixed_6bps,5497,0.387129,0.809267,0.422138,1365.052643,62.787996,1302.264647,6.0000
campbell_rl_normal,fixed_6bps,5498,0.410163,0.814523,0.404359,1343.043999,59.139481,1283.904518,6.0000
campbell_rl_normal,fixed_6bps,5499,0.413403,0.804269,0.390867,1348.108922,53.844017,1294.264904,6.0000
